age,age_old,age_young,co2,type,co2_low,co2_high,co2_range,distribution,proxy_type,reference
402.6,407.6,397.5,1320,mean,660,2640,1,skew_normal,paleosols,"Driese et al., 2000"
421.1,423,419.2,1440,mean,720,2880,1,skew_normal,paleosols,"Driese et al., 2000"
377.5,382.7,372.2,1120,mean,560,2240,1,skew_normal,paleosols,"Cox et al., 2001"
385.2,387.7,382.7,1560,mean,780,3120,1,skew_normal,paleosols,"Cox et al., 2001"
54.2,54.5,53.9,814,mean,407,1627,1,skew_normal,paleosols,"Royer et al., 2001b"
54.9,55.2,54.6,231,mean,115,462,1,skew_normal,paleosols,"Royer et al., 2001b"
56.2,56.5,55.9,461,mean,230,922,1,skew_normal,paleosols,"Royer et al., 2001b"
56.5,56.8,56.2,487,mean,243,974,1,skew_normal,paleosols,"Royer et al., 2001b"
56.7,57,56.4,579,mean,290,1158,1,skew_normal,paleosols,"Royer et al., 2001b"
57.3,57.6,57,816,mean,408,1633,1,skew_normal,paleosols,"Royer et al., 2001b"
57.7,58,57.4,474,mean,237,948,1,skew_normal,paleosols,"Royer et al., 2001b"
200.3,201.3,199.3,992,mean,496,1984,1,skew_normal,paleosols,"Tanner et al., 2001"
223.3,237,209.5,900,mean,450,1800,1,skew_normal,paleosols,"Tanner et al., 2001"
130.1,130.8,129.4,112,mean,56,224,1,skew_normal,paleosols,"Robinson et al., 2002"
64.8,65,64.7,400,mean,200,800,1,skew_normal,paleosols,"Nordt et al., 2002"
65.3,65.7,65,340,mean,170,680,1,skew_normal,paleosols,"Nordt et al., 2002"
65.9,66.3,65.5,300,mean,150,600,1,skew_normal,paleosols,"Nordt et al., 2002"
67.2,68.1,66.3,560,mean,280,1120,1,skew_normal,paleosols,"Nordt et al., 2002"
67.2,68.1,66.3,300,mean,150,600,1,skew_normal,paleosols,"Nordt et al., 2002"
77.1,80,74.3,480,mean,240,960,1,skew_normal,paleosols,"Nordt et al., 2002"
65.2,66.2,64.2,178,mean,89,356,1,skew_normal,paleosols,"Nordt et al., 2003"
65.2,66.2,64.2,163,mean,81,326,1,skew_normal,paleosols,"Nordt et al., 2003"
65.4,66.4,64.4,88,mean,44,176,1,skew_normal,paleosols,"Nordt et al., 2003"
65.6,66.6,64.6,111,mean,56,222,1,skew_normal,paleosols,"Nordt et al., 2003"
65.8,66.8,64.8,178,mean,89,355,1,skew_normal,paleosols,"Nordt et al., 2003"
65.9,66.9,64.9,54,mean,27,108,1,skew_normal,paleosols,"Nordt et al., 2003"
66.1,67.1,65.1,183,mean,92,366,1,skew_normal,paleosols,"Nordt et al., 2003"
66.2,67.2,65.2,277,mean,139,555,1,skew_normal,paleosols,"Nordt et al., 2003"
66.4,67.4,65.4,90,mean,45,180,1,skew_normal,paleosols,"Nordt et al., 2003"
66.5,67.5,65.5,0,mean,0,0,1,skew_normal,paleosols,"Nordt et al., 2003"
66.5,67.5,65.5,42,mean,21,85,1,skew_normal,paleosols,"Nordt et al., 2003"
66.6,67.6,65.6,15,mean,7,30,1,skew_normal,paleosols,"Nordt et al., 2003"
66.6,67.6,65.6,263,mean,132,527,1,skew_normal,paleosols,"Nordt et al., 2003"
66.7,67.7,65.7,453,mean,226,906,1,skew_normal,paleosols,"Nordt et al., 2003"
66.9,67.9,65.9,426,mean,213,852,1,skew_normal,paleosols,"Nordt et al., 2003"
66.9,67.9,65.9,265,mean,133,531,1,skew_normal,paleosols,"Nordt et al., 2003"
67,68,66,219,mean,110,438,1,skew_normal,paleosols,"Nordt et al., 2003"
67,68,66,128,mean,64,257,1,skew_normal,paleosols,"Nordt et al., 2003"
68.5,69.5,67.5,10,mean,5,21,1,skew_normal,paleosols,"Nordt et al., 2003"
68.7,69.7,67.7,171,mean,85,341,1,skew_normal,paleosols,"Nordt et al., 2003"
68.8,69.8,67.8,110,mean,55,219,1,skew_normal,paleosols,"Nordt et al., 2003"
69,70,68,158,mean,79,317,1,skew_normal,paleosols,"Nordt et al., 2003"
69.1,70.1,68.1,138,mean,69,277,1,skew_normal,paleosols,"Nordt et al., 2003"
69.3,70.3,68.3,202,mean,101,404,1,skew_normal,paleosols,"Nordt et al., 2003"
69.4,70.4,68.4,145,mean,73,290,1,skew_normal,paleosols,"Nordt et al., 2003"
69.5,70.5,68.5,345,mean,172,689,1,skew_normal,paleosols,"Nordt et al., 2003"
69.7,70.7,68.7,204,mean,102,407,1,skew_normal,paleosols,"Nordt et al., 2003"
69.9,70.9,68.9,309,mean,155,618,1,skew_normal,paleosols,"Nordt et al., 2003"
70,71,69,375,mean,188,751,1,skew_normal,paleosols,"Nordt et al., 2003"
70.1,71.1,69.1,329,mean,164,657,1,skew_normal,paleosols,"Nordt et al., 2003"
70.2,71.2,69.2,122,mean,61,243,1,skew_normal,paleosols,"Nordt et al., 2003"
70.3,71.3,69.3,38,mean,19,76,1,skew_normal,paleosols,"Nordt et al., 2003"
70.5,71.5,69.5,126,mean,63,252,1,skew_normal,paleosols,"Nordt et al., 2003"
71.4,72.4,70.4,254,mean,127,508,1,skew_normal,paleosols,"Nordt et al., 2003"
71.5,72.5,70.5,289,mean,145,578,1,skew_normal,paleosols,"Nordt et al., 2003"
71.6,72.6,70.6,294,mean,147,589,1,skew_normal,paleosols,"Nordt et al., 2003"
280.7,282,279.3,133,mean,67,267,1,skew_normal,paleosols,"Tabor et al., 2004"
273.7,275,272.3,133,mean,67,267,1,skew_normal,paleosols,"Tabor et al., 2004"
83.3,100.5,66,740,mean,370,1480,1,skew_normal,paleosols,"Ghosh et al., 2005 (and 1995, 2001)"
182.4,201.3,163.5,1113,mean,556,2225,1,skew_normal,paleosols,"Ghosh et al., 2005 (and 1995, 2001)"
232.7,237,228.4,585,mean,293,1170,1,skew_normal,paleosols,"Ghosh et al., 2005 (and 1995, 2001)"
242.1,247.1,237,605,mean,303,1210,1,skew_normal,paleosols,"Ghosh et al., 2005 (and 1995, 2001)"
279.4,298.9,259.8,358,mean,179,715,1,skew_normal,paleosols,"Ghosh et al., 2005 (and 1995, 2001)"
219,228.4,209.5,880,mean,440,1760,1,skew_normal,paleosols,"Prochnow et al., 2006"
