age,age_old,age_young,co2,type,co2_low,co2_high,co2_range,distribution,proxy_type,reference
5.5,6.1,4.9,222,median,112,524,1,skew_normal,paleosols,"Cotton & Sheldon, 2012  (updated by Breecker & Retallack, 2014)"
50.5,50.5,50.4,684,mean,574,807,1,skew_normal,paleosols,"Hyland & Sheldon, 2013"
50.7,50.8,50.7,397,mean,246,533,1,skew_normal,paleosols,"Hyland & Sheldon, 2013"
50.9,50.9,50.8,178,mean,109,246,1,skew_normal,paleosols,"Hyland & Sheldon, 2013"
51.1,51.2,51.1,1285,mean,1026,1532,1,skew_normal,paleosols,"Hyland & Sheldon, 2013"
51.2,51.3,51.2,1354,mean,1258,1450,1,skew_normal,paleosols,"Hyland & Sheldon, 2013"
51.4,51.4,51.3,971,mean,834,1108,1,skew_normal,paleosols,"Hyland & Sheldon, 2013"
51.5,51.5,51.4,1709,mean,1436,2000,1,skew_normal,paleosols,"Hyland & Sheldon, 2013"
51.5,51.6,51.5,1299,mean,1067,1491,1,skew_normal,paleosols,"Hyland & Sheldon, 2013"
51.8,51.8,51.7,903,mean,738,1067,1,skew_normal,paleosols,"Hyland & Sheldon, 2013"
52,52,51.9,301,mean,219,383,1,skew_normal,paleosols,"Hyland & Sheldon, 2013"
63.6,,,235,mean,188,281,1,skew_normal,paleosols,"Huang et al., 2013"
63.7,,,212,mean,148,276,1,skew_normal,paleosols,"Huang et al., 2013"
64.6,,,200,mean,144,255,1,skew_normal,paleosols,"Huang et al., 2013"
64.7,,,289,mean,188,390,1,skew_normal,paleosols,"Huang et al., 2013"
64.9,,,175,mean,127,223,1,skew_normal,paleosols,"Huang et al., 2013"
65,,,357,mean,260,455,1,skew_normal,paleosols,"Huang et al., 2013"
65.1,,,278,mean,200,355,1,skew_normal,paleosols,"Huang et al., 2013"
65.2,,,360,mean,189,532,1,skew_normal,paleosols,"Huang et al., 2013"
65.4,,,298,mean,196,399,1,skew_normal,paleosols,"Huang et al., 2013"
66.5,,,492,mean,395,588,1,skew_normal,paleosols,"Huang et al., 2013"
68.3,,,175,mean,102,248,1,skew_normal,paleosols,"Huang et al., 2013"
52.8,52.9,52.7,400,mean,275,530,1,skew_normal,paleosols,"Hyland et al., 2013"
52.6,52.7,52.5,750,mean,630,880,1,skew_normal,paleosols,"Hyland et al., 2013"
51.9,52,51.8,1260,mean,1075,1440,1,skew_normal,paleosols,"Hyland et al., 2013"
51.8,51.9,51.7,1210,mean,1030,1400,1,skew_normal,paleosols,"Hyland et al., 2013"
51.1,51.2,51,725,mean,640,800,1,skew_normal,paleosols,"Hyland et al., 2013"
135.7,145,126.3,924,mean,462,1847,1,skew_normal,paleosols,"Mortazavi et al., 2013"
31.6,35.5,27.7,265,mean,132,529,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Srivastava et al., 2013"
31.6,35.5,27.7,377,mean,188,754,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Srivastava et al., 2013"
253.2,254.2,252.2,1325,mean,663,2650,1,skew_normal,paleosols,"Gastaldo et al., 2014"
253.2,254.2,252.2,1100,mean,550,2200,1,skew_normal,paleosols,"Gastaldo et al., 2014"
253.2,254.2,252.2,883,mean,442,1766,1,skew_normal,paleosols,"Gastaldo et al., 2014"
6.4,,,213,median,118,376,1,skew_normal,paleosols,"Breecker & Retallack, 2014"
6.7,,,283,median,154,531,1,skew_normal,paleosols,"Breecker & Retallack, 2014"
6.8,,,372,median,227,663,1,skew_normal,paleosols,"Breecker & Retallack, 2014"
8.8,,,274,median,173,476,1,skew_normal,paleosols,"Breecker & Retallack, 2014"
9.1,,,197,median,90,485,1,skew_normal,paleosols,"Breecker & Retallack, 2014"
12.7,,,267,median,131,624,1,skew_normal,paleosols,"Breecker & Retallack, 2014"
13.7,,,101,median,31,272,1,skew_normal,paleosols,"Breecker & Retallack, 2014"
17.5,,,261,median,125,609,1,skew_normal,paleosols,"Breecker & Retallack, 2014"
17.8,,,237,median,73,1017,1,skew_normal,paleosols,"Breecker & Retallack, 2014"
18,,,160,median,47,694,1,skew_normal,paleosols,"Breecker & Retallack, 2014"
18.2,,,274,median,183,400,1,skew_normal,paleosols,"Breecker & Retallack, 2014"
23,,,203,median,97,493,1,skew_normal,paleosols,"Breecker & Retallack, 2014"
100.8,,,763,mean,382,1526,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014"
102.4,,,621,mean,310,1242,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014"
103.1,,,792,mean,396,1584,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014"
103.3,,,1052,mean,526,2104,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014"
104.6,,,1246,mean,623,2493,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014"
104.7,,,1139,mean,570,2278,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014"
104.8,,,1254,mean,627,2509,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014"
106.1,,,1399,mean,700,2798,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014"
106.4,,,1474,mean,737,2949,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014"
106.5,,,1679,mean,840,3358,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014"
106.6,,,1497,mean,748,2994,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014"
106.9,,,1496,mean,748,2992,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014"
107.8,,,1201,mean,600,2402,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014"
108.8,,,1015,mean,508,2030,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014"
110.3,,,1065,mean,532,2130,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014"
111.1,,,1637,mean,818,3274,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014"
111.5,,,1966,mean,983,3933,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014"
111.8,,,1880,mean,940,3760,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014"
112.3,,,1829,mean,914,3658,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014"
112.7,,,1419,mean,710,2838,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014"
113.8,,,1295,mean,648,2590,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014"
114.8,,,1514,mean,757,3029,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014"
114.9,,,1426,mean,713,2853,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014"
115.3,,,1367,mean,684,2734,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014"
116.1,,,1666,mean,833,3331,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014"
117.8,,,1364,mean,682,2728,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014"
123.3,,,736,mean,368,1472,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014"
123.6,,,607,mean,304,1214,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014"
123.7,,,824,mean,412,1648,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014"
123.8,,,1018,mean,509,2035,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014"
126.4,,,1065,mean,532,2130,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014"
126.6,,,1510,mean,755,3019,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014"
127.5,,,1704,mean,852,3408,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014"
129.8,,,940,mean,470,1880,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014"
130.2,,,1023,mean,512,2046,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014"
130.8,,,842,mean,421,1685,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014"
131.3,,,1910,mean,955,3819,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014"
132,,,2562,mean,1281,5123,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014"
201.5,,,710,mean,449,971,1,normal,paleosols,"Schaller et al., 2015"
201.8,,,1189.6,mean,730,1650,1,normal,paleosols,"Schaller et al., 2015"
201.8,,,1494.733333,mean,911,2078,1,normal,paleosols,"Schaller et al., 2015"
201.9,,,1502,mean,917,2087,1,normal,paleosols,"Schaller et al., 2015"
202.1,,,1508.866667,mean,925,2092,1,normal,paleosols,"Schaller et al., 2015"
202.6,,,1064.533333,mean,662,1467,1,normal,paleosols,"Schaller et al., 2015"
202.8,,,1613.266667,mean,982,2244,1,normal,paleosols,"Schaller et al., 2015"
203.3,,,1486.8,mean,907,2066,1,normal,paleosols,"Schaller et al., 2015"
203.5,,,1297.866667,mean,801,1795,1,normal,paleosols,"Schaller et al., 2015"
203.9,,,1942.533333,mean,1155,2730,1,normal,paleosols,"Schaller et al., 2015"
204.1,,,1021.333333,mean,632,1411,1,normal,paleosols,"Schaller et al., 2015"
204.4,,,1854.466667,mean,1122,2586,1,normal,paleosols,"Schaller et al., 2015"
204.6,,,1427.133333,mean,872,1983,1,normal,paleosols,"Schaller et al., 2015"
204.6,,,1973.333333,mean,1252,2695,1,normal,paleosols,"Schaller et al., 2015"
204.7,,,2023.8,mean,1270,2778,1,normal,paleosols,"Schaller et al., 2015"
205.9,,,2157.866667,mean,1351,2965,1,normal,paleosols,"Schaller et al., 2015"
205.9,,,2103.866667,mean,1317,2891,1,normal,paleosols,"Schaller et al., 2015"
207.2,,,1962.8,mean,1246,2680,1,normal,paleosols,"Schaller et al., 2015"
207.3,,,2275.6,mean,1405,3146,1,normal,paleosols,"Schaller et al., 2015"
207.5,,,2723.733333,mean,1657,3790,1,normal,paleosols,"Schaller et al., 2015"
207.8,,,2505.333333,mean,1539,3472,1,normal,paleosols,"Schaller et al., 2015"
207.9,,,2508.4,mean,1519,3497,1,normal,paleosols,"Schaller et al., 2015"
208.1,,,2953.133333,mean,1575,4331,1,normal,paleosols,"Schaller et al., 2015"
208.3,,,2953.133333,mean,1764,4142,1,normal,paleosols,"Schaller et al., 2015"
208.4,,,2831.733333,mean,1713,3950,1,normal,paleosols,"Schaller et al., 2015"
209.2,,,3191.066667,mean,1878,4504,1,normal,paleosols,"Schaller et al., 2015"
210,,,2756,mean,1664,3848,1,normal,paleosols,"Schaller et al., 2015"
210.3,,,2295.533333,mean,1437,3154,1,normal,paleosols,"Schaller et al., 2015"
210.8,,,2605.6,mean,1579,3632,1,normal,paleosols,"Schaller et al., 2015"
211.6,,,1623.4,mean,1047,2200,1,normal,paleosols,"Schaller et al., 2015"
211.6,,,2236.6,mean,1367,3106,1,normal,paleosols,"Schaller et al., 2015"
211.9,,,1942.266667,mean,1220,2664,1,normal,paleosols,"Schaller et al., 2015"
213.1,,,2635.6,mean,1574,3697,1,normal,paleosols,"Schaller et al., 2015"
215,,,3194.333333,mean,1873,4516,1,normal,paleosols,"Schaller et al., 2015"
215,,,3087.8,mean,1803,4373,1,normal,paleosols,"Schaller et al., 2015"
215.1,,,3123.2,mean,1826,4420,1,normal,paleosols,"Schaller et al., 2015"
215.2,,,3722.4,mean,2095,5350,1,normal,paleosols,"Schaller et al., 2015"
215.3,,,3395.733333,mean,1939,4853,1,normal,paleosols,"Schaller et al., 2015"
215.4,,,3218.066667,mean,1867,4569,1,normal,paleosols,"Schaller et al., 2015"
215.6,,,3113.6,mean,1808,4419,1,normal,paleosols,"Schaller et al., 2015"
215.6,,,3132.333333,mean,1844,4420,1,normal,paleosols,"Schaller et al., 2015"
215.7,,,3240.6,mean,1884,4597,1,normal,paleosols,"Schaller et al., 2015"
216,,,2470.2,mean,1505,3436,1,normal,paleosols,"Schaller et al., 2015"
216.2,,,2767,mean,1582,3952,1,normal,paleosols,"Schaller et al., 2015"
218.2,,,3183.266667,mean,1806,4561,1,normal,paleosols,"Schaller et al., 2015"
218.8,,,2798.666667,mean,1647,3950,1,normal,paleosols,"Schaller et al., 2015"
222,,,2732.066667,mean,1636,3828,1,normal,paleosols,"Schaller et al., 2015"
222.3,,,2324.933333,mean,1413,3237,1,normal,paleosols,"Schaller et al., 2015"
222.4,,,3022.666667,mean,1756,4290,1,normal,paleosols,"Schaller et al., 2015"
223.2,,,2627.333333,mean,1596,3658,1,normal,paleosols,"Schaller et al., 2015"
224.3,,,3042.066667,mean,1805,4279,1,normal,paleosols,"Schaller et al., 2015"
225.8,,,2547.466667,mean,1537,3558,1,normal,paleosols,"Schaller et al., 2015"
226.2,,,3302.4,mean,1906,4699,1,normal,paleosols,"Schaller et al., 2015"
226.6,,,3182.6,mean,1875,4491,1,normal,paleosols,"Schaller et al., 2015"
227.1,,,3568.133333,mean,2055,5081,1,normal,paleosols,"Schaller et al., 2015"
229.3,,,3319.733333,mean,1936,4704,1,normal,paleosols,"Schaller et al., 2015"
229.7,,,2445.6,mean,1505,3387,1,normal,paleosols,"Schaller et al., 2015"
231,,,2516.4,mean,1541,3492,1,normal,paleosols,"Schaller et al., 2015"
231.4,,,3230.866667,mean,1900,4562,1,normal,paleosols,"Schaller et al., 2015"
232,,,2142.8,mean,1335,2950,1,normal,paleosols,"Schaller et al., 2015"
232.2,,,2884.2,mean,1724,4045,1,normal,paleosols,"Schaller et al., 2015"
100,,,746,mean,373,1492,1,skew_normal,paleosols,"Ludvigson et al., 2015"
102.5,,,886,mean,443,1772,1,skew_normal,paleosols,"Ludvigson et al., 2015"
111.5,,,996,mean,498,1992,1,skew_normal,paleosols,"Ludvigson et al., 2015"
113.5,,,1335,mean,668,2670,1,skew_normal,paleosols,"Ludvigson et al., 2015"
115.5,,,986,mean,493,1972,1,skew_normal,paleosols,"Ludvigson et al., 2015"
116,,,1071,mean,536,2142,1,skew_normal,paleosols,"Ludvigson et al., 2015"
116.5,,,1190,mean,595,2380,1,skew_normal,paleosols,"Ludvigson et al., 2015"
119.4,,,1179,mean,590,2358,1,skew_normal,paleosols,"Ludvigson et al., 2015"
1,,,244,mean,153,403,1,skew_normal,paleosols,"Da et al., 2015"
1.1,,,214,mean,134,353,1,skew_normal,paleosols,"Da et al., 2015"
1.2,,,335,mean,210,552,1,skew_normal,paleosols,"Da et al., 2015"
1.2,,,217,mean,136,357,1,skew_normal,paleosols,"Da et al., 2015"
1.2,,,193,mean,121,319,1,skew_normal,paleosols,"Da et al., 2015"
1.3,,,141,mean,88,233,1,skew_normal,paleosols,"Da et al., 2015"
1.3,,,157,mean,98,258,1,skew_normal,paleosols,"Da et al., 2015"
1.3,,,196,mean,123,324,1,skew_normal,paleosols,"Da et al., 2015"
1.4,,,194,mean,122,321,1,skew_normal,paleosols,"Da et al., 2015"
1.4,,,192,mean,120,317,1,skew_normal,paleosols,"Da et al., 2015"
1.4,,,192,mean,120,316,1,skew_normal,paleosols,"Da et al., 2015"
1.4,,,194,mean,121,320,1,skew_normal,paleosols,"Da et al., 2015"
1.5,,,239,mean,150,394,1,skew_normal,paleosols,"Da et al., 2015"
1.5,,,210,mean,132,347,1,skew_normal,paleosols,"Da et al., 2015"
1.5,,,303,mean,190,500,1,skew_normal,paleosols,"Da et al., 2015"
1.6,,,282,mean,177,465,1,skew_normal,paleosols,"Da et al., 2015"
1.6,,,230,mean,144,380,1,skew_normal,paleosols,"Da et al., 2015"
1.6,,,247,mean,154,407,1,skew_normal,paleosols,"Da et al., 2015"
1.6,,,207,mean,130,342,1,skew_normal,paleosols,"Da et al., 2015"
1.7,,,239,mean,150,394,1,skew_normal,paleosols,"Da et al., 2015"
1.8,,,230,mean,144,379,1,skew_normal,paleosols,"Da et al., 2015"
1.9,,,307,mean,192,507,1,skew_normal,paleosols,"Da et al., 2015"
1.9,,,252,mean,158,415,1,skew_normal,paleosols,"Da et al., 2015"
2.1,,,299,mean,187,494,1,skew_normal,paleosols,"Da et al., 2015"
2.1,,,300,mean,188,495,1,skew_normal,paleosols,"Da et al., 2015"
2.1,,,278,mean,174,458,1,skew_normal,paleosols,"Da et al., 2015"
2.2,,,338,mean,212,557,1,skew_normal,paleosols,"Da et al., 2015"
2.3,,,387,mean,243,639,1,skew_normal,paleosols,"Da et al., 2015"
2.3,,,342,mean,214,564,1,skew_normal,paleosols,"Da et al., 2015"
2.3,,,405,mean,254,669,1,skew_normal,paleosols,"Da et al., 2015"
2.6,,,400,mean,251,660,1,skew_normal,paleosols,"Da et al., 2015"
2.6,,,385,mean,241,636,1,skew_normal,paleosols,"Da et al., 2015"
221.9,,,6,mean,3,12,1,skew_normal,paleosols,"Nordt et al., 2015 (expands and refines Atchley et al., 2013)"
220.1,,,215,mean,108,430,1,skew_normal,paleosols,"Nordt et al., 2015 (expands and refines Atchley et al., 2013)"
214.7,,,355,mean,178,710,1,skew_normal,paleosols,"Nordt et al., 2015 (expands and refines Atchley et al., 2013)"
213.5,,,443,mean,222,886,1,skew_normal,paleosols,"Nordt et al., 2015 (expands and refines Atchley et al., 2013)"
213.3,,,500,mean,250,1000,1,skew_normal,paleosols,"Nordt et al., 2015 (expands and refines Atchley et al., 2013)"
213.2,,,546,mean,273,1092,1,skew_normal,paleosols,"Nordt et al., 2015 (expands and refines Atchley et al., 2013)"
213.1,,,501,mean,251,1002,1,skew_normal,paleosols,"Nordt et al., 2015 (expands and refines Atchley et al., 2013)"
213,,,523,mean,262,1046,1,skew_normal,paleosols,"Nordt et al., 2015 (expands and refines Atchley et al., 2013)"
212.7,,,170,mean,85,340,1,skew_normal,paleosols,"Nordt et al., 2015 (expands and refines Atchley et al., 2013)"
212.6,,,738,mean,369,1476,1,skew_normal,paleosols,"Nordt et al., 2015 (expands and refines Atchley et al., 2013)"
212.5,,,1463,mean,732,2926,1,skew_normal,paleosols,"Nordt et al., 2015 (expands and refines Atchley et al., 2013)"
212.4,,,522,mean,261,1044,1,skew_normal,paleosols,"Nordt et al., 2015 (expands and refines Atchley et al., 2013)"
212.2,,,713,mean,357,1426,1,skew_normal,paleosols,"Nordt et al., 2015 (expands and refines Atchley et al., 2013)"
212.1,,,708,mean,354,1416,1,skew_normal,paleosols,"Nordt et al., 2015 (expands and refines Atchley et al., 2013)"
212,,,10,mean,5,20,1,skew_normal,paleosols,"Nordt et al., 2015 (expands and refines Atchley et al., 2013)"
211.7,,,683,mean,342,1366,1,skew_normal,paleosols,"Nordt et al., 2015 (expands and refines Atchley et al., 2013)"
211.5,,,643,mean,322,1286,1,skew_normal,paleosols,"Nordt et al., 2015 (expands and refines Atchley et al., 2013)"
211.4,,,749,mean,375,1498,1,skew_normal,paleosols,"Nordt et al., 2015 (expands and refines Atchley et al., 2013)"
211.3,,,128,mean,64,256,1,skew_normal,paleosols,"Nordt et al., 2015 (expands and refines Atchley et al., 2013)"
211.2,,,182,mean,91,364,1,skew_normal,paleosols,"Nordt et al., 2015 (expands and refines Atchley et al., 2013)"
211.2,,,616,mean,308,1232,1,skew_normal,paleosols,"Nordt et al., 2015 (expands and refines Atchley et al., 2013)"
211.1,,,726,mean,363,1452,1,skew_normal,paleosols,"Nordt et al., 2015 (expands and refines Atchley et al., 2013)"
210.9,,,-127,mean,-64,-254,1,skew_normal,paleosols,"Nordt et al., 2015 (expands and refines Atchley et al., 2013)"
210.7,,,-194,mean,-97,-388,1,skew_normal,paleosols,"Nordt et al., 2015 (expands and refines Atchley et al., 2013)"
210.4,,,219,mean,110,438,1,skew_normal,paleosols,"Nordt et al., 2015 (expands and refines Atchley et al., 2013)"
210.1,,,420,mean,210,840,1,skew_normal,paleosols,"Nordt et al., 2015 (expands and refines Atchley et al., 2013)"
209.9,,,1080,mean,540,2160,1,skew_normal,paleosols,"Nordt et al., 2015 (expands and refines Atchley et al., 2013)"
209.9,,,777,mean,389,1554,1,skew_normal,paleosols,"Nordt et al., 2015 (expands and refines Atchley et al., 2013)"
209.7,,,665,mean,333,1330,1,skew_normal,paleosols,"Nordt et al., 2015 (expands and refines Atchley et al., 2013)"
209.6,,,529,mean,265,1058,1,skew_normal,paleosols,"Nordt et al., 2015 (expands and refines Atchley et al., 2013)"
209.5,,,1220,mean,610,2440,1,skew_normal,paleosols,"Nordt et al., 2015 (expands and refines Atchley et al., 2013)"
209.3,,,1025,mean,513,2050,1,skew_normal,paleosols,"Nordt et al., 2015 (expands and refines Atchley et al., 2013)"
209.2,,,1406,mean,703,2812,1,skew_normal,paleosols,"Nordt et al., 2015 (expands and refines Atchley et al., 2013)"
209,,,1063,mean,532,2126,1,skew_normal,paleosols,"Nordt et al., 2015 (expands and refines Atchley et al., 2013)"
208.6,,,1869,mean,935,3738,1,skew_normal,paleosols,"Nordt et al., 2015 (expands and refines Atchley et al., 2013)"
208.4,,,904,mean,452,1808,1,skew_normal,paleosols,"Nordt et al., 2015 (expands and refines Atchley et al., 2013)"
208.2,,,1179,mean,590,2358,1,skew_normal,paleosols,"Nordt et al., 2015 (expands and refines Atchley et al., 2013)"
208,,,964,mean,482,1928,1,skew_normal,paleosols,"Nordt et al., 2015 (expands and refines Atchley et al., 2013)"
207.4,,,1978,mean,989,3956,1,skew_normal,paleosols,"Nordt et al., 2015 (expands and refines Atchley et al., 2013)"
205.15,209,201.3,1626.42,mean,813,3253,1,skew_normal,paleosols,"Whiteside et al., 2015"
205.15,209,201.3,1233.546667,mean,617,2467,1,skew_normal,paleosols,"Whiteside et al., 2015"
205.15,209,201.3,1293.693333,mean,647,2587,1,skew_normal,paleosols,"Whiteside et al., 2015"
211.9,212.6,211.2,749,mean,374,1498,1,skew_normal,paleosols,"Whiteside et al., 2015"
211.9,212.6,211.2,786,mean,393,1573,1,skew_normal,paleosols,"Whiteside et al., 2015"
34.2,,,399,mean,127,672,1,normal,paleosols,"Kohn et al., 2015"
0.2,,,289,mean,263,315,1,normal,alkenones,"Seki et al., 2010"
0.3,,,246,mean,224,268,1,normal,alkenones,"Seki et al., 2010"
0.5,,,255,mean,232,278,1,normal,alkenones,"Seki et al., 2010"
0.9,,,243,mean,221,264,1,normal,alkenones,"Seki et al., 2010"
1,,,252,mean,230,275,1,normal,alkenones,"Seki et al., 2010"
1.2,,,266,mean,243,290,1,normal,alkenones,"Seki et al., 2010"
1.3,,,271,mean,246,295,1,normal,alkenones,"Seki et al., 2010"
1.5,,,277,mean,252,302,1,normal,alkenones,"Seki et al., 2010"
1.8,,,270,mean,246,295,1,normal,alkenones,"Seki et al., 2010"
2.1,,,254,mean,231,277,1,normal,alkenones,"Seki et al., 2010"
2.3,,,273,mean,249,298,1,normal,alkenones,"Seki et al., 2010"
2.6,,,267,mean,243,291,1,normal,alkenones,"Seki et al., 2010"
2.8,,,299,mean,272,326,1,normal,alkenones,"Seki et al., 2010"
2.8,,,303,mean,276,331,1,normal,alkenones,"Seki et al., 2010"
2.9,,,323,mean,294,352,1,normal,alkenones,"Seki et al., 2010"
2.9,,,333,mean,303,363,1,normal,alkenones,"Seki et al., 2010"
3,,,372,mean,338,405,1,normal,alkenones,"Seki et al., 2010"
3.1,,,353,mean,321,385,1,normal,alkenones,"Seki et al., 2010"
3.1,,,344,mean,313,375,1,normal,alkenones,"Seki et al., 2010"
3.2,,,335,mean,305,365,1,normal,alkenones,"Seki et al., 2010"
3.2,,,341,mean,310,372,1,normal,alkenones,"Seki et al., 2010"
3.6,,,362,mean,329,395,1,normal,alkenones,"Seki et al., 2010"
3.8,,,357,mean,325,389,1,normal,alkenones,"Seki et al., 2010"
3.9,,,338,mean,307,368,1,normal,alkenones,"Seki et al., 2010"
4,,,329,mean,300,359,1,normal,alkenones,"Seki et al., 2010"
4.1,,,354,mean,322,385,1,normal,alkenones,"Seki et al., 2010"
4.3,,,381,mean,348,414,1,normal,alkenones,"Seki et al., 2010"
4.4,,,351,mean,320,382,1,normal,alkenones,"Seki et al., 2010"
4.6,,,370,mean,337,402,1,normal,alkenones,"Seki et al., 2010"
