age,co2,co2_low,co2_high,xi_co2,omega_co2,alpha_co2
73.4,593,520,979,1020.425872,356.157444,-2.843126942
73.9,695,559,3251,3664.289564,2210.057944,-5.393886197
76.1,568,475,984,1021.68963,389.0864084,-2.582720343
77.9,582,497,1001,1043.21602,388.747354,-2.732108578
79.5,585,483,1105,1159.068638,481.1642882,-2.785000134
93.868,436.2,357.3,545.7,516.902442,115.4304843,-1.00804589
93.936,431.05,353.2,533.4,502.0554356,108.2411261,-0.928046283
93.955,369.65,316.4,478.2,470.7612557,110.0945404,-1.513663729
94.012,465.85,355.3,689.1,673.0708416,226.6681695,-1.501751537
94.033,424.9,355.3,549.8,535.0893636,128.4997289,-1.351517434
94.046,485.3,336.9,777.1,753.3543616,297.164216,-1.467912153
94.066,507.85,326.6,906.1,888.5207537,400.4839127,-1.608923334
94.09,446.45,349.9,543.7,465.2109201,99.16705268,-0.23925874
94.09,396.25,351.2,500.7,497.7350152,104.3972361,-1.677486189
94.09,448.45,361.4,568.3,536.0617566,126.4095337,-0.996521941
94.1,360.4,304.1,480.2,473.7058623,120.912685,-1.56814079
94.14,456.65,357.3,637.9,617.8225731,186.1361351,-1.37258193
94.21,444.35,353.2,572.4,539.8649079,134.8684626,-1.025453047
94.28,409.55,345.1,508.9,489.6299537,103.824894,-1.153303945
94.31,384,322.5,490.4,476.1302645,109.9013078,-1.304553904
94.37,380.9,316.4,484.3,466.5087888,107.6490195,-1.205339455
94.52,365.55,289.9,472,445.078954,112.1048204,-1.027789895
100,954,636,1272,953.2011218,319.7732128,0.003131121
100.33,917,612,1223,962.0407688,310.4179677,-0.182817102
100.66,852,568,1136,852.7197853,285.5836399,-0.003158866
101,710,580,1420,1498.207247,653.49577,-2.895236026
101,974,649,1298,927.133594,329.5893674,0.179124465
108,710,603,1400,1484.824031,627.6009073,-3.172324178
113.5,700,597,1340,1417.00093,583.6009909,-3.108991656
117,893,595,1190,848.739184,302.3449847,0.184465832
117,695,590,1380,1464.75211,622.5677521,-3.19227758
117,769,513,1026,809.1474037,260.9623217,-0.193965562
117.3,734,489,979,733.6776321,246.3655966,0.001639955
117.5,782,521,1043,782.5144217,262.455058,-0.002456548
117.8,908,605,1211,908.7803476,304.6896191,-0.003209904
118,593,395,791,593.4487136,199.1039601,-0.002824559
118.3,867,578,1156,867.8784688,290.611925,-0.003788571
118.5,1060,707,1413,1058.920775,354.9689103,0.003810515
118.8,1060,707,1413,1060.886093,354.9683758,-0.003128609
119,573,382,764,573.4366102,192.0649398,-0.002849096
119.3,784,523,1046,824.660196,266.0098309,-0.192700724
119.5,837,558,1116,835.7269408,280.5577539,0.005687114
119.8,867,578,1156,866.2401806,290.611591,0.00327687
123,630,530,1220,1288.699486,539.9724016,-3.022019546
123,1008,672,1344,1008.827181,337.8735414,-0.003068372
126,630,530,1250,1324.496353,565.4491903,-3.105281617
127,592,395,789,590.8631606,198.1011437,0.007192523
129,550,450,1130,1196.759202,531.4744639,-2.993657202
131,620,590,1270,1376.333543,559.6394981,-5.750151717
135,650,500,1300,1356.542186,609.6143812,-2.534935601
141,1448,965,1931,1446.719322,485.6934488,0.003304756
141,1442,961,1923,1440.385891,483.6833066,0.004182487
141,1228,819,1638,1282.635413,415.3283555,-0.165588283
141,1151,767,1534,1098.678402,389.1065707,0.169295116
143,813,542,1084,812.2962168,272.5111924,0.003236803
143,736,491,981,735.4411123,246.3660197,0.002843185
145,972,648,1296,971.1293243,325.8068164,0.003349331
148,736,491,981,735.4018121,246.366112,0.003043113
151,939,626,1252,938.2555914,314.7452302,0.002964242
167,1422,948,1896,1423.334324,476.6434706,-0.003508568
168,1373,915,1830,1314.217478,463.7296482,0.159512571
168,879,586,1172,878.3734581,294.6335561,0.002665196
168,639,426,852,638.3889972,214.1879208,0.003575282
168,1894,1263,2525,1895.606885,634.5185997,-0.003173966
168,816,544,1088,816.6598107,273.5166525,-0.00302341
169,1296,864,1728,1294.517394,434.4100669,0.004277488
169.7,1031,687,1375,1031.931975,345.9183681,-0.003376701
170,1188,792,1584,1188.966603,398.2080822,-0.003042283
171,1134,756,1512,1134.84699,380.107539,-0.002792755
171.7,926,618,1235,971.3314907,313.4452082,-0.182213763
173.6,896,597,1195,896.7483222,300.667259,-0.003119351
182.5,1050,800,1300,1050.583125,251.393927,-0.002907156
182.6,1550,1200,1900,1549.161215,351.9515506,0.002986959
182.7,550,400,700,549.6375515,150.8363859,0.003011631
182.8,950,700,1200,950.7357431,251.3943274,-0.003668031
182.9,950,700,1200,949.4051037,251.3939546,0.002965841
183,600,500,700,599.8394505,100.5574285,0.002001038
186.3,942,628,1256,941.1208194,315.7511467,0.003489757
188,735,490,980,735.649616,246.366242,-0.003304741
197,716,477,954,677.7269796,242.7890946,0.198810108
198,864,576,1152,863.2389921,289.6060247,0.003293392
199,1535,1023,2046,1471.721774,518.1703355,0.153626771
200,702,468,936,702.735125,235.3052308,-0.003915542
200,908,605,1210,863.2509063,307.3906579,0.183428481
202,758,505,1010,718.2652329,256.9241295,0.195001644
202,835,556,1113,792.6202018,283.1695436,0.188633108
223,813,542,1084,813.5898962,272.5109222,-0.002713019
227,789,526,1052,789.6082795,264.4663993,-0.002882663
227,825,550,1100,824.3136696,276.5334276,0.003110621
267,343,310,376,342.9196633,33.18400633,0.003034217
267,266,237,295,265.9224221,29.16172026,0.00333416
268,290,259,321,290.0706044,31.17284304,-0.002838681
270,326,294,358,326.0795852,32.1784345,-0.003099768
271,342,309,375,342.0872825,33.18402386,-0.003296553
297,354,236,472,354.2972238,118.6579866,-0.003139411
311,348,316,380,347.849092,32.17868977,0.005877736
311,351,319,383,351.086382,32.17845202,-0.003364497
311,336,305,367,335.9299395,31.17284181,0.002816813
311,308,277,339,307.9001738,31.1729229,0.004013561
311,350,318,382,349.9186552,32.1784389,0.003168303
311,366,333,399,366.1004523,33.18406113,-0.003793959
311,368,336,400,367.958157,32.17836326,0.001629739
311,358,326,390,358.0829526,32.17844302,-0.003230924
311,303,272,334,303.0590325,31.17281899,-0.002373429
311,367,333,401,367.0703608,34.1895545,-0.002579278
311,350,316,384,349.8400866,34.1898561,0.0058621
311,401,367,435,401.1013335,34.18963224,-0.003714677
311,287,254,320,286.9118765,33.18402609,0.003328317
311,311,278,344,310.9656071,33.18392692,0.001298975
311,284,253,315,283.9228965,31.17285846,0.003099979
311,325,294,356,325.0833489,31.1728745,-0.003351079
313,261,174,348,261.2423066,87.4851868,-0.003471305
320,385,351,419,385.0918497,34.18960542,-0.00336702
320,392,359,425,392.0856102,33.18401952,-0.003233392
320,359,327,391,358.9684674,32.17835155,0.001228164
402,2282,1521,3042,2199.738758,769.0989852,0.134436937
409.1,2836,2505,4561,4743.870113,1593.42375,-2.819939227
11.6,332,166,664,639.0253621,337.4535006,-1.489473223
13.9,293,146.5,586,563.9591298,297.8128785,-1.489473223
15.7,469,234.5,938,902.7195628,476.7038909,-1.489473223
16.5,393,196.5,786,756.4366486,399.4554992,-1.489473223
16.8,393,196.5,786,756.4366486,399.4554992,-1.489473223
16.8,425,212.5,850,818.0294545,431.9811378,-1.489473223
17.6,341,170.5,682,656.3483388,346.6013364,-1.489473223
17.6,388,194,776,746.8127726,394.3733681,-1.489473223
17.6,374,187,748,719.86592,380.1434012,-1.489473223
19,397,198.5,794,764.1357493,403.521204,-1.489473223
19,459,229.5,918,883.4718109,466.5396288,-1.489473223
20,332,166,664,639.0253621,337.4535006,-1.489473223
22.1,333,166.5,666,640.9501373,338.4699268,-1.489473223
25,588,294,1176,1131.76781,597.6586094,-1.489473223
