age,co2,co2_low,co2_high,xi_co2,omega_co2,alpha_co2
69,375,313,438,391.0040709,64.7378131,-0.314681569
69,329,274,383,314.3436139,56.6081976,0.330073303
69,122,101,142,114.0942747,21.9116005,0.467673043
69,38,32,45,41.97651633,7.412979737,-0.726610537
69,126,105,147,126.0825327,21.11719433,-0.004898398
70,254,212,297,266.5028063,44.3964338,-0.360168336
70,289,241,337,289.1468276,48.26772741,-0.00381253
71,294,245,343,294.1096212,49.27319908,-0.002788335
75,1180,936,1416,1099.774265,253.142825,0.407564391
77,480,360,600,479.6755647,120.6691964,0.003369717
80,504,264,744,503.413052,241.3382343,0.00304814
106,600,400,800,599.6783104,201.1148579,0.002004719
112,653,453,853,653.5297399,201.1152982,-0.003301257
115,904,540,1320,1128.55063,440.0624854,-0.685720433
115,1084,540,1320,556.3357885,544.083395,1.67004417
115,1076,540,1320,563.6985155,539.0211138,1.608622016
120,592,480,720,661.0925017,135.4038417,-0.685720433
129,112,49,179,139.4073692,70.15840058,-0.509428216
133,1150,1100,1200,1149.881182,50.27879055,0.002961814
143,560,427,693,560.3430847,133.7416494,-0.003215114
153,1272,912,1392,900.608147,349.7975816,2.014432014
173,1113,838,1388,1113.808343,276.5337571,-0.003663615
174,768,528,1008,767.2174541,241.3387891,0.004063924
191,1824,1584,2064,1824.582026,241.3382225,-0.003022577
198,1204,1040,1420,1354.183365,228.4125615,-0.930781729
198,992,596,1388,993.0389922,398.2082644,-0.003270121
200,1171,921,1421,1171.349876,251.3934942,-0.0017443
200,961,711,1211,960.2554264,251.3943529,0.003712055
200,341,91,591,340.2818233,251.3942765,0.003580452
201,773,523,1023,772.3515445,251.3940871,0.00323286
201,1267,1017,1517,1267.585955,251.3939336,-0.002921263
201,614,364,864,613.4273076,251.3939029,0.002855144
202,1214,964,1464,1214.448598,251.3936518,-0.002236472
202,1619,1369,1869,1618.409419,251.3939443,0.002944328
202,843,593,1093,842.2441992,251.3943865,0.003768028
202,880,630,1130,879.1560366,251.3946668,0.004207564
203,1783,1449,2116,1735.281309,338.6696649,0.177475513
203,1202,952,1452,1202.738276,251.3943345,-0.003680656
203,1967,1633,2300,1919.281309,338.6696649,0.177475513
203,1557,1223,1890,1509.281309,338.6696649,0.177475513
203,623,373,873,623.6786069,251.3941667,-0.003383179
203,513,263,763,513.661271,251.3941204,-0.003296751
203,661,411,911,660.4707567,251.3938077,0.002638529
203,1030,697,1363,1029.219067,334.8567206,0.002922915
203,863,529,1196,815.2813086,338.6696649,0.177475513
203,1085,751,1418,1037.281309,338.6696649,0.177475513
203,1191,858,1525,1238.718691,338.6696649,-0.177475513
204,1702,1369,2035,1702.768298,334.8566911,-0.002875623
204,1777,1443,2110,1729.281309,338.6696649,0.177475513
204,560,310,810,559.3852306,251.3940023,0.003064918
204,1367,1034,1701,1414.718691,338.6696649,-0.177475513
204,1295,962,1629,1342.718691,338.6696649,-0.177475513
204,1516,1183,1849,1515.072452,334.8570944,0.003471675
204,1678,1345,2011,1677.220525,334.8567171,0.002917459
204,1191,858,1525,1238.718691,338.6696649,-0.177475513
204,1349,1015,1682,1301.281309,338.6696649,0.177475513
204,377,127,627,376.739536,251.3933856,0.001298536
204,1443,1109,1776,1395.281309,338.6696649,0.177475513
204,269,19,519,268.4835618,251.3937812,0.00257469
204,344,94,594,344.7547885,251.3943836,-0.003762981
204,1596,1263,1929,1595.707671,334.8559376,0.001094143
204,1702,1369,2035,1701.087007,334.8570545,0.003417195
205,1667,1333,2000,1619.281309,338.6696649,0.177475513
205,372,122,622,371.2398908,251.3943997,0.003789506
206,45,0.1,295,322.9456013,229.7718616,-2.926590436
206,13,0.1,263,303.5355054,215.957332,-5.469566941
206,643,310,977,690.7186914,338.6696649,-0.177475513
207,544,211,877,543.4465548,334.8562674,0.002071461
207,111,0.1,361,351.88498,250.6710014,-1.641581855
208,1264,720,2160,2018.486818,930.2737421,-1.24080705
208,667,533,800,640.8252871,136.6813984,0.242242933
216,660,360,1380,1366.36528,716.8376573,-1.721768505
216,732,360,1380,1295.12514,668.8333633,-1.313345416
216,900,540,1260,899.2079137,362.0071476,0.00274231
216,800,640,960,799.6668721,160.8920254,0.002595001
217,880,660,1100,879.3044464,221.227154,0.003940532
218,695,521,869,695.5019791,174.9704225,-0.003595697
222,1140,360,1380,323.9842206,751.6602854,2.123076038
222,585,440,730,585.7179795,145.8098522,-0.00617152
223,116,87,145,116.0734616,29.16170959,-0.003157251
237,605,455,755,605.3452066,150.8363454,-0.002868365
239,580,435,725,580.3422614,145.8084871,-0.002941959
240,300,225,375,300.182346,75.41819569,-0.003030272
241,284,160,400,231.8003368,130.0037143,0.524834298
241,244,120,360,191.8003368,130.0037143,0.524834298
260,400,240,600,529.3746702,211.8923886,-0.848374174
270,133,80,267,266.2499966,132.6364808,-1.788965807
274,1268,809,1728,1326.95208,465.7461609,-0.159278182
277,1280,779,1782,1342.458103,508.0894964,-0.154651955
278,922,580,1265,970.5633433,347.7494241,-0.175885451
279,1128,697,1559,1126.923364,433.4033014,0.003113424
279,1038,620,1456,1036.884635,420.3309949,0.003325732
280,845,493,1197,844.3870473,353.9622278,0.002170355
280,812,472,1153,860.3762887,345.7317451,-0.176233897
280,812,472,1153,860.3762887,345.7317451,-0.176233897
281,794,477,1112,840.198059,322.5265258,-0.180450194
282,1449,899,1999,1447.917225,553.0662115,0.002453704
282,1030,676,1396,1150.338603,379.7142375,-0.407564391
282,429,269,588,399.5991487,162.975972,0.227960059
283,133,80,267,266.2499966,132.6364808,-1.788965807
283,188,25,351,188.3979438,163.9088825,-0.003042852
284,187,11,362,155.7013212,179.1492751,0.22065328
284,620,102,770,72.90913386,496.1609946,2.207025321
285,432,101,567,105.4136296,328.7564743,1.749282778
285,70,60,80,70.03213872,10.05578137,-0.004005673
285,1700,530,2497,792.0725911,1228.036128,1.08698684
285,453,141,666,211.331331,327.5366097,1.083964235
285,358,270,445,338.1124362,90.10315008,0.280063461
285,486,151,713,224.8975267,351.4599203,1.094240382
285,632,246,1017,579.498598,391.1237524,0.168998101
290,219,0.1,493,396.6194959,290.2840337,-0.850619774
292,53,0.1,285,305.5020271,217.3591174,-2.552933254
294,0.1,0.1,300,350.3188155,249.2533657,-15.51255099
295,51,0.1,227,236.9196976,168.5585334,-2.208813179
296,68,0.1,320,336.8805243,239.6992216,-2.308631295
298,288,0.1,878,838.6436653,598.0348971,-1.520383748
299,515,0.1,996,296.6100381,540.0010036,0.528962191
300,399,88,650,200.6144624,329.5451488,0.833808517
300,697,185,1102,360.0970231,542.2937337,0.866738005
300,882,282,1347,475.6799176,635.0595245,0.899172751
303,250,180,320,249.7935417,70.39041292,0.003676046
303,588,340,820,483.6006736,260.0074285,0.524834298
303,608,360,840,503.6006736,260.0074285,0.524834298
322,290,240,400,395.1866349,110.6012364,-1.61052053
322,210,180,240,209.8952202,30.16737204,0.004353148
322,320,240,400,320.2396548,80.44619714,-0.003733729
336,190,180,200,189.9648933,10.05579129,0.004375596
343,824,600,1020,703.0881221,236.9567229,0.685720433
343,524,276,756,419.6006736,260.0074285,0.524834298
365,395,280,510,394.6770029,115.6413463,0.003500641
367,600,380,820,599.4152484,221.2268336,0.003312802
368,1140,840,1440,1139.41043,301.672477,0.002449407
370,1260,960,1560,1259.21524,301.6729214,0.003260336
380,1120,920,1280,990.6253298,211.8923886,0.848374174
389,1560,1160,2080,1915.635951,550.2147567,-0.910782798
391,624,384,864,623.4075565,241.3382479,0.00307668
402,1320,960,1680,1319.209887,362.0071432,0.002735478
417,1440,1080,1800,1440.866365,362.0073177,-0.002999475
419,1680,1280,2080,1681.095032,402.2306914,-0.003412037
1,430,360,510,473.1828135,84.62740104,-0.685720433
5,261,240,331,334.5309518,67.28478006,-2.157926341
6,239,221,303,306.882983,61.12713147,-2.247900591
6,249,229,315,318.2185411,63.50400085,-2.144062756
6,252,233,319,322.9806503,64.04388775,-2.236294454
7,278,256,356,360.6986799,74.51928244,-2.24389884
7,242,223,306,309.3385081,61.45316688,-2.172412066
7,264,243,334,337.5309518,67.28478006,-2.157926341
8,230,212,292,295.456663,59.40115179,-2.203430567
8,340,285,400,367.784274,63.15016776,-0.580215738
8,237,218,301,304.3385081,61.45316688,-2.172412066
9,247,228,313,316.7674961,63.18090128,-2.215230696
9,227,209,287,290.0265301,57.67266863,-2.157926341
9,268,247,342,346.3884689,70.7399434,-2.235296484
10,258,238,327,330.8645183,66.09723154,-2.205678061
10,263,243,334,338.2908354,67.82320957,-2.245700622
10,234,216,296,299.456663,59.40115179,-2.203430567
10,205,188,259,261.2779841,52.15952042,-2.091781711
10,247,227,312,315.0013149,62.63835711,-2.123076038
10,235,217,296,299.2420974,58.53723728,-2.180812076
10,245,226,310,313.5534628,62.31733594,-2.193938987
10,255,235,323,326.6500989,65.23341285,-2.185356864
10,244,225,309,312.5534628,62.31733594,-2.193938987
10,243,225,307,310.882983,61.12713147,-2.247900591
