"","age","age_old","age_young","co2","type","co2_low","co2_high","co2_range","distribution","proxy_type","reference","xi_co2","omega_co2","alpha_co2"
"42",77.9,83.6,72.1,1180,"mean",590,2360,1,"skew_normal","paleosols","Ekart et al., 1999",2271.23472086597,1199.38292370981,-1.48947322328285
"43",77.9,83.6,72.1,504,"mean",252,1008,1,"skew_normal","paleosols","Ekart et al., 1999",970.086694335974,512.278808093004,-1.48947322328285
"44",119.7,126.3,113,904,"mean",452,1808,1,"skew_normal","paleosols","Ekart et al., 1999",1739.99676920579,918.8492907065,-1.48947322328285
"45",119.7,126.3,113,1084,"mean",542,2168,1,"skew_normal","paleosols","Ekart et al., 1999",2086.45630289721,1101.80600788257,-1.48947322328285
"46",119.7,126.3,113,1076,"mean",538,2152,1,"skew_normal","paleosols","Ekart et al., 1999",2071.05810139982,1093.6745982303,-1.48947322328285
"47",119.7,126.3,113,592,"mean",296,1184,1,"skew_normal","paleosols","Ekart et al., 1999",1139.46691080733,601.724314267973,-1.48947322328285
"48",154.7,157.3,152.1,1272,"mean",636,2544,1,"skew_normal","paleosols","Ekart et al., 1999",2448.31403808603,1292.89413471092,-1.48947322328285
"49",187.7,201.3,174.1,1824,"mean",912,3648,1,"skew_normal","paleosols","Ekart et al., 1999",3510.78994140638,1853.96140071754,-1.48947322328285
"50",172.2,174.1,170.3,768,"mean",384,1536,1,"skew_normal","paleosols","Ekart et al., 1999",1478.22734375006,780.615326617911,-1.48947322328285
"51",223.3,237,209.5,660,"mean",330,1320,1,"skew_normal","paleosols","Ekart et al., 1999",1270.3516235352,670.841296312268,-1.48947322328285
"52",223.3,237,209.5,732,"mean",366,1464,1,"skew_normal","paleosols","Ekart et al., 1999",1408.93543701177,744.023983182697,-1.48947322328285
"53",223.3,237,209.5,1140,"mean",570,2280,1,"skew_normal","paleosols","Ekart et al., 1999",2194.24371337899,1158.72587544846,-1.48947322328285
"54",242.1,247.1,237,244,"mean",122,488,1,"skew_normal","paleosols","Ekart et al., 1999",469.645145670591,248.007994394232,-1.48947322328285
"55",259.4,259.8,259,400,"mean",200,800,1,"skew_normal","paleosols","Ekart et al., 1999",769.910074869821,406.570482613495,-1.48947322328285
"56",303,307,298.9,608,"mean",304,1216,1,"skew_normal","paleosols","Ekart et al., 1999",1170.26331380213,617.987133572513,-1.48947322328285
"57",344.8,347,342.5,824,"mean",412,1648,1,"skew_normal","paleosols","Ekart et al., 1999",1586.01475423183,837.535194183801,-1.48947322328285
"58",388,393.3,382.7,624,"mean",312,1248,1,"skew_normal","paleosols","Ekart et al., 1999",1201.05971679692,634.249952877053,-1.48947322328285
"59",130.1,133.9,126.3,1150,"mean",575,2300,1,"skew_normal","paleosols","Lee, 1999",2213.49146525073,1168.8901375138,-1.48947322328285
"60",134.3,136.5,132,653,"mean",327,1307,1,"skew_normal","paleosols","Lee & Hisada, 1999  (updated by Hong and Lee, 2012)",1258.51600120679,664.511909376458,-1.49335938258144
"61",365.6,372.2,358.9,1140,"mean",570,2280,1,"skew_normal","paleosols","Driese et al., 2000",2194.24371337899,1158.72587544846,-1.48947322328285
"62",365.6,372.2,358.9,1260,"mean",630,2520,1,"skew_normal","paleosols","Driese et al., 2000",2425.21673583994,1280.69702023251,-1.48947322328285
"63",402.6,407.6,397.5,1320,"mean",660,2640,1,"skew_normal","paleosols","Driese et al., 2000",2540.70324707041,1341.68259262454,-1.48947322328285
"64",421.1,423,419.2,1440,"mean",720,2880,1,"skew_normal","paleosols","Driese et al., 2000",2771.67626953137,1463.6537374086,-1.48947322328287
"65",377.5,382.7,372.2,1120,"mean",560,2240,1,"skew_normal","paleosols","Cox et al., 2001",2155.7482096355,1138.39735131779,-1.48947322328285
"66",385.2,387.7,382.7,1560,"mean",780,3120,1,"skew_normal","paleosols","Cox et al., 2001",3002.6492919923,1585.62488219263,-1.48947322328285
"67",54.2,54.5,53.9,814,"mean",407,1627,1,"skew_normal","paleosols","Royer et al., 2001b",1565.48518691864,826.46966560036,-1.48791346615298
"68",54.9,55.2,54.6,231,"mean",115,462,1,"skew_normal","paleosols","Royer et al., 2001b",444.265646755714,234.909428749834,-1.48399204530258
"69",56.2,56.5,55.9,461,"mean",230,922,1,"skew_normal","paleosols","Royer et al., 2001b",886.964205604076,468.687584962709,-1.48672377381067
"70",56.5,56.8,56.2,487,"mean",243,974,1,"skew_normal","paleosols","Royer et al., 2001b",937.008374708967,495.114673231209,-1.48687041333204
"71",56.7,57,56.4,579,"mean",290,1158,1,"skew_normal","paleosols","Royer et al., 2001b",1114.80151078767,588.39543789186,-1.49166654991353
"72",57.3,57.6,57,816,"mean",408,1633,1,"skew_normal","paleosols","Royer et al., 2001b",1571.89806700468,830.304904978799,-1.49102722567668
"73",57.7,58,57.4,474,"mean",237,948,1,"skew_normal","paleosols","Royer et al., 2001b",912.343438720738,481.786021896992,-1.48947322328285
"74",200.3,201.3,199.3,992,"mean",496,1984,1,"skew_normal","paleosols","Tanner et al., 2001",1909.37698567716,1008.29479688147,-1.48947322328285
"75",223.3,237,209.5,900,"mean",450,1800,1,"skew_normal","paleosols","Tanner et al., 2001",1732.2976684571,914.783585880365,-1.48947322328285
"76",130.1,130.8,129.4,112,"mean",56,224,1,"skew_normal","paleosols","Robinson et al., 2002",215.57482096355,113.839735131779,-1.48947322328285
"77",64.8,65,64.7,400,"mean",200,800,1,"skew_normal","paleosols","Nordt et al., 2002",769.910074869821,406.570482613495,-1.48947322328285
"78",65.3,65.7,65,340,"mean",170,680,1,"skew_normal","paleosols","Nordt et al., 2002",654.423563639348,345.584910221471,-1.48947322328285
"79",65.9,66.3,65.5,300,"mean",150,600,1,"skew_normal","paleosols","Nordt et al., 2002",577.432556152366,304.927861960122,-1.48947322328285
"80",67.2,68.1,66.3,560,"mean",280,1120,1,"skew_normal","paleosols","Nordt et al., 2002",1077.87410481775,569.198675658894,-1.48947322328285
"81",67.2,68.1,66.3,300,"mean",150,600,1,"skew_normal","paleosols","Nordt et al., 2002",577.432556152366,304.927861960122,-1.48947322328285
"82",77.1,80,74.3,480,"mean",240,960,1,"skew_normal","paleosols","Nordt et al., 2002",923.892089843785,487.884579136195,-1.48947322328285
"83",65.2,66.2,64.2,178,"mean",89,356,1,"skew_normal","paleosols","Nordt et al., 2003",342.60998331707,180.923864763005,-1.48947322328285
"84",65.2,66.2,64.2,163,"mean",81,326,1,"skew_normal","paleosols","Nordt et al., 2003",313.380711399171,165.792339004311,-1.48171228587691
"85",65.4,66.4,64.4,88,"mean",44,176,1,"skew_normal","paleosols","Nordt et al., 2003",169.380216471361,89.445506174969,-1.48947322328285
"86",65.6,66.6,64.6,111,"mean",56,222,1,"skew_normal","paleosols","Nordt et al., 2003",214.005833555515,112.707540618353,-1.50095564587929
"87",65.8,66.8,64.8,178,"mean",89,355,1,"skew_normal","paleosols","Nordt et al., 2003",341.327623872338,180.022334841431,-1.482324448467
"88",65.9,66.9,64.9,54,"mean",27,108,1,"skew_normal","paleosols","Nordt et al., 2003",103.937860107426,54.8870151528219,-1.48947322328285
"89",66.1,67.1,65.1,183,"mean",92,366,1,"skew_normal","paleosols","Nordt et al., 2003",352.590079387834,185.890437929336,-1.49642565471138
"90",66.2,67.2,65.2,277,"mean",139,555,1,"skew_normal","paleosols","Nordt et al., 2003",534.799519994844,282.335164224177,-1.49863432291188
"91",66.4,67.4,65.4,90,"mean",45,180,1,"skew_normal","paleosols","Nordt et al., 2003",173.22976684571,91.4783585880365,-1.48947322328285
"92",66.5,67.5,65.5,42,"mean",21,85,1,"skew_normal","paleosols","Nordt et al., 2003",82.1193958783708,43.5897153292557,-1.51932848820825
"93",66.6,67.6,65.6,15,"mean",7,30,1,"skew_normal","paleosols","Nordt et al., 2003",28.5063140617831,15.3576065104083,-1.40748521599621
"94",66.6,67.6,65.6,263,"mean",132,527,1,"skew_normal","paleosols","Nordt et al., 2003",507.852574313427,268.10515203383,-1.49912197726101
"95",66.7,67.7,65.7,453,"mean",226,906,1,"skew_normal","paleosols","Nordt et al., 2003",871.565999396522,460.556173028414,-1.48667527115329
"96",66.9,67.9,65.9,426,"mean",213,852,1,"skew_normal","paleosols","Nordt et al., 2003",819.954229736359,432.997563983373,-1.48947322328285
"97",66.9,67.9,65.9,265,"mean",133,531,1,"skew_normal","paleosols","Nordt et al., 2003",511.702138580054,270.138011209717,-1.49904915772597
"98",67,68,66,219,"mean",110,438,1,"skew_normal","paleosols","Nordt et al., 2003",421.882095900761,222.481834737143,-1.4952801929238
"99",67,68,66,128,"mean",64,257,1,"skew_normal","paleosols","Nordt et al., 2003",247.651940112725,131.003286938963,-1.49934723612112
"100",68.5,69.5,67.5,10,"mean",5,21,1,"skew_normal","paleosols","Nordt et al., 2003",20.5186634878266,11.0601236363507,-1.61052052970425
"101",68.7,69.7,67.7,171,"mean",85,341,1,"skew_normal","paleosols","Nordt et al., 2003",327.495101169448,173.021517396441,-1.47463122210722
"102",68.8,69.8,67.8,110,"mean",55,219,1,"skew_normal","paleosols","Nordt et al., 2003",210.442475842051,110.905142434966,-1.47788461406538
"103",69,70,68,158,"mean",79,317,1,"skew_normal","paleosols","Nordt et al., 2003",305.395374169446,161.496159978651,-1.49747836786869
"104",69.1,70.1,68.1,138,"mean",69,277,1,"skew_normal","paleosols","Nordt et al., 2003",266.899759997422,141.167582112088,-1.49863432291188
"105",69.3,70.3,68.3,202,"mean",101,404,1,"skew_normal","paleosols","Nordt et al., 2003",388.80458780926,205.318093719815,-1.48947322328285
"106",69.4,70.4,68.4,145,"mean",73,290,1,"skew_normal","paleosols","Nordt et al., 2003",279.44844743837,147.266157026656,-1.49825393791246
"107",69.5,70.5,68.5,345,"mean",172,689,1,"skew_normal","paleosols","Nordt et al., 2003",662.407455363565,349.880388025069,-1.48211722644875
"108",69.7,70.7,68.7,204,"mean",102,407,1,"skew_normal","paleosols","Nordt et al., 2003",391.371867945371,206.449459365619,-1.48323784606508
"109",69.9,70.9,68.9,309,"mean",155,618,1,"skew_normal","paleosols","Nordt et al., 2003",595.112025429762,313.960272378932,-1.4935861243204
"110",70,71,69,375,"mean",188,751,1,"skew_normal","paleosols","Nordt et al., 2003",723.427946157192,381.945155192095,-1.49624025990974
"111",70.1,71.1,69.1,329,"mean",164,657,1,"skew_normal","paleosols","Nordt et al., 2003",631.610982402622,333.617534884929,-1.4817594675493
"112",70.2,71.2,69.2,122,"mean",61,243,1,"skew_normal","paleosols","Nordt et al., 2003",233.5398905843,123.102311243005,-1.47902927047284
"113",70.3,71.3,69.3,38,"mean",19,76,1,"skew_normal","paleosols","Nordt et al., 2003",73.141457112633,38.6241958482821,-1.48947322328285
"114",70.5,71.5,69.5,126,"mean",63,252,1,"skew_normal","paleosols","Nordt et al., 2003",242.521673583994,128.069702023251,-1.48947322328285
"115",71.4,72.4,70.4,254,"mean",127,508,1,"skew_normal","paleosols","Nordt et al., 2003",488.892897542336,258.172256459569,-1.48947322328285
"116",71.5,72.5,70.5,289,"mean",145,578,1,"skew_normal","paleosols","Nordt et al., 2003",556.616494278135,293.631734933245,-1.49387124301043
"117",71.6,72.6,70.6,294,"mean",147,589,1,"skew_normal","paleosols","Nordt et al., 2003",567.165154013282,299.730296356407,-1.4937816412442
"118",280.7,282,279.3,133,"mean",67,267,1,"skew_normal","paleosols","Tabor et al., 2004",257.630013012556,135.968873703879,-1.5085530437735
"119",273.7,275,272.3,133,"mean",67,267,1,"skew_normal","paleosols","Tabor et al., 2004",257.630013012556,135.968873703879,-1.5085530437735
"120",83.3,100.5,66,740,"mean",370,1480,1,"skew_normal","paleosols","Ghosh et al., 2005 (and 1995, 2001)",1424.33363850917,752.155392834967,-1.48947322328285
"121",182.4,201.3,163.5,1113,"mean",556,2225,1,"skew_normal","paleosols","Ghosh et al., 2005 (and 1995, 2001)",2140.63578789832,1130.49619332149,-1.48719313791914
"122",232.7,237,228.4,585,"mean",293,1170,1,"skew_normal","paleosols","Ghosh et al., 2005 (and 1995, 2001)",1126.35016408153,594.493996184812,-1.49164403521814
