age,age_old,age_young,co2,type,co2_low,co2_high,co2_range,distribution,proxy_type,reference,xi_co2,omega_co2,alpha_co2
119.7,126.3,113,592,mean,296,1184,1,skew_normal,paleosols,"Ekart et al., 1999",1139.466911,601.7243143,-1.489473223
154.7,157.3,152.1,1272,mean,636,2544,1,skew_normal,paleosols,"Ekart et al., 1999",2448.314038,1292.894135,-1.489473223
187.7,201.3,174.1,1824,mean,912,3648,1,skew_normal,paleosols,"Ekart et al., 1999",3510.789941,1853.961401,-1.489473223
172.2,174.1,170.3,768,mean,384,1536,1,skew_normal,paleosols,"Ekart et al., 1999",1478.227344,780.6153266,-1.489473223
223.3,237,209.5,660,mean,330,1320,1,skew_normal,paleosols,"Ekart et al., 1999",1270.351624,670.8412963,-1.489473223
223.3,237,209.5,732,mean,366,1464,1,skew_normal,paleosols,"Ekart et al., 1999",1408.935437,744.0239832,-1.489473223
223.3,237,209.5,1140,mean,570,2280,1,skew_normal,paleosols,"Ekart et al., 1999",2194.243713,1158.725875,-1.489473223
242.1,247.1,237,244,mean,122,488,1,skew_normal,paleosols,"Ekart et al., 1999",469.6451457,248.0079944,-1.489473223
259.4,259.8,259,400,mean,200,800,1,skew_normal,paleosols,"Ekart et al., 1999",769.9100749,406.5704826,-1.489473223
303,307,298.9,608,mean,304,1216,1,skew_normal,paleosols,"Ekart et al., 1999",1170.263314,617.9871336,-1.489473223
344.8,347,342.5,824,mean,412,1648,1,skew_normal,paleosols,"Ekart et al., 1999",1586.014754,837.5351942,-1.489473223
388,393.3,382.7,624,mean,312,1248,1,skew_normal,paleosols,"Ekart et al., 1999",1201.059717,634.2499529,-1.489473223
130.1,133.9,126.3,1150,mean,575,2300,1,skew_normal,paleosols,"Lee, 1999",2213.491465,1168.890138,-1.489473223
134.3,136.5,132,653,mean,327,1307,1,skew_normal,paleosols,"Lee & Hisada, 1999  (updated by Hong and Lee, 2012)",1258.516001,664.5119094,-1.493359383
365.6,372.2,358.9,1140,mean,570,2280,1,skew_normal,paleosols,"Driese et al., 2000",2194.243713,1158.725875,-1.489473223
365.6,372.2,358.9,1260,mean,630,2520,1,skew_normal,paleosols,"Driese et al., 2000",2425.216736,1280.69702,-1.489473223
402.6,407.6,397.5,1320,mean,660,2640,1,skew_normal,paleosols,"Driese et al., 2000",2540.703247,1341.682593,-1.489473223
421.1,423,419.2,1440,mean,720,2880,1,skew_normal,paleosols,"Driese et al., 2000",2771.67627,1463.653737,-1.489473223
377.5,382.7,372.2,1120,mean,560,2240,1,skew_normal,paleosols,"Cox et al., 2001",2155.74821,1138.397351,-1.489473223
385.2,387.7,382.7,1560,mean,780,3120,1,skew_normal,paleosols,"Cox et al., 2001",3002.649292,1585.624882,-1.489473223
54.2,54.5,53.9,814,mean,407,1627,1,skew_normal,paleosols,"Royer et al., 2001b",1565.485187,826.4696656,-1.487913466
54.9,55.2,54.6,231,mean,115,462,1,skew_normal,paleosols,"Royer et al., 2001b",444.2656468,234.9094287,-1.483992045
56.2,56.5,55.9,461,mean,230,922,1,skew_normal,paleosols,"Royer et al., 2001b",886.9642056,468.687585,-1.486723774
56.5,56.8,56.2,487,mean,243,974,1,skew_normal,paleosols,"Royer et al., 2001b",937.0083747,495.1146732,-1.486870413
56.7,57,56.4,579,mean,290,1158,1,skew_normal,paleosols,"Royer et al., 2001b",1114.801511,588.3954379,-1.49166655
57.3,57.6,57,816,mean,408,1633,1,skew_normal,paleosols,"Royer et al., 2001b",1571.898067,830.304905,-1.491027226
57.7,58,57.4,474,mean,237,948,1,skew_normal,paleosols,"Royer et al., 2001b",912.3434387,481.7860219,-1.489473223
200.3,201.3,199.3,992,mean,496,1984,1,skew_normal,paleosols,"Tanner et al., 2001",1909.376986,1008.294797,-1.489473223
223.3,237,209.5,900,mean,450,1800,1,skew_normal,paleosols,"Tanner et al., 2001",1732.297668,914.7835859,-1.489473223
130.1,130.8,129.4,112,mean,56,224,1,skew_normal,paleosols,"Robinson et al., 2002",215.574821,113.8397351,-1.489473223
64.8,65,64.7,400,mean,200,800,1,skew_normal,paleosols,"Nordt et al., 2002",769.9100749,406.5704826,-1.489473223
65.3,65.7,65,340,mean,170,680,1,skew_normal,paleosols,"Nordt et al., 2002",654.4235636,345.5849102,-1.489473223
65.9,66.3,65.5,300,mean,150,600,1,skew_normal,paleosols,"Nordt et al., 2002",577.4325562,304.927862,-1.489473223
67.2,68.1,66.3,560,mean,280,1120,1,skew_normal,paleosols,"Nordt et al., 2002",1077.874105,569.1986757,-1.489473223
67.2,68.1,66.3,300,mean,150,600,1,skew_normal,paleosols,"Nordt et al., 2002",577.4325562,304.927862,-1.489473223
77.1,80,74.3,480,mean,240,960,1,skew_normal,paleosols,"Nordt et al., 2002",923.8920898,487.8845791,-1.489473223
65.2,66.2,64.2,178,mean,89,356,1,skew_normal,paleosols,"Nordt et al., 2003",342.6099833,180.9238648,-1.489473223
65.2,66.2,64.2,163,mean,81,326,1,skew_normal,paleosols,"Nordt et al., 2003",313.3807114,165.792339,-1.481712286
65.4,66.4,64.4,88,mean,44,176,1,skew_normal,paleosols,"Nordt et al., 2003",169.3802165,89.44550617,-1.489473223
65.6,66.6,64.6,111,mean,56,222,1,skew_normal,paleosols,"Nordt et al., 2003",214.0058336,112.7075406,-1.500955646
65.8,66.8,64.8,178,mean,89,355,1,skew_normal,paleosols,"Nordt et al., 2003",341.3276239,180.0223348,-1.482324448
65.9,66.9,64.9,54,mean,27,108,1,skew_normal,paleosols,"Nordt et al., 2003",103.9378601,54.88701515,-1.489473223
66.1,67.1,65.1,183,mean,92,366,1,skew_normal,paleosols,"Nordt et al., 2003",352.5900794,185.8904379,-1.496425655
66.2,67.2,65.2,277,mean,139,555,1,skew_normal,paleosols,"Nordt et al., 2003",534.79952,282.3351642,-1.498634323
66.4,67.4,65.4,90,mean,45,180,1,skew_normal,paleosols,"Nordt et al., 2003",173.2297668,91.47835859,-1.489473223
66.5,67.5,65.5,42,mean,21,85,1,skew_normal,paleosols,"Nordt et al., 2003",82.11939588,43.58971533,-1.519328488
66.6,67.6,65.6,15,mean,7,30,1,skew_normal,paleosols,"Nordt et al., 2003",28.50631406,15.35760651,-1.407485216
66.6,67.6,65.6,263,mean,132,527,1,skew_normal,paleosols,"Nordt et al., 2003",507.8525743,268.105152,-1.499121977
66.7,67.7,65.7,453,mean,226,906,1,skew_normal,paleosols,"Nordt et al., 2003",871.5659994,460.556173,-1.486675271
66.9,67.9,65.9,426,mean,213,852,1,skew_normal,paleosols,"Nordt et al., 2003",819.9542297,432.997564,-1.489473223
66.9,67.9,65.9,265,mean,133,531,1,skew_normal,paleosols,"Nordt et al., 2003",511.7021386,270.1380112,-1.499049158
67,68,66,219,mean,110,438,1,skew_normal,paleosols,"Nordt et al., 2003",421.8820959,222.4818347,-1.495280193
67,68,66,128,mean,64,257,1,skew_normal,paleosols,"Nordt et al., 2003",247.6519401,131.0032869,-1.499347236
68.5,69.5,67.5,10,mean,5,21,1,skew_normal,paleosols,"Nordt et al., 2003",20.51866349,11.06012364,-1.61052053
68.7,69.7,67.7,171,mean,85,341,1,skew_normal,paleosols,"Nordt et al., 2003",327.4951012,173.0215174,-1.474631222
68.8,69.8,67.8,110,mean,55,219,1,skew_normal,paleosols,"Nordt et al., 2003",210.4424758,110.9051424,-1.477884614
69,70,68,158,mean,79,317,1,skew_normal,paleosols,"Nordt et al., 2003",305.3953742,161.49616,-1.497478368
69.1,70.1,68.1,138,mean,69,277,1,skew_normal,paleosols,"Nordt et al., 2003",266.89976,141.1675821,-1.498634323
69.3,70.3,68.3,202,mean,101,404,1,skew_normal,paleosols,"Nordt et al., 2003",388.8045878,205.3180937,-1.489473223
69.4,70.4,68.4,145,mean,73,290,1,skew_normal,paleosols,"Nordt et al., 2003",279.4484474,147.266157,-1.498253938
69.5,70.5,68.5,345,mean,172,689,1,skew_normal,paleosols,"Nordt et al., 2003",662.4074554,349.880388,-1.482117226
69.7,70.7,68.7,204,mean,102,407,1,skew_normal,paleosols,"Nordt et al., 2003",391.3718679,206.4494594,-1.483237846
69.9,70.9,68.9,309,mean,155,618,1,skew_normal,paleosols,"Nordt et al., 2003",595.1120254,313.9602724,-1.493586124
70,71,69,375,mean,188,751,1,skew_normal,paleosols,"Nordt et al., 2003",723.4279462,381.9451552,-1.49624026
70.1,71.1,69.1,329,mean,164,657,1,skew_normal,paleosols,"Nordt et al., 2003",631.6109824,333.6175349,-1.481759468
70.2,71.2,69.2,122,mean,61,243,1,skew_normal,paleosols,"Nordt et al., 2003",233.5398906,123.1023112,-1.47902927
70.3,71.3,69.3,38,mean,19,76,1,skew_normal,paleosols,"Nordt et al., 2003",73.14145711,38.62419585,-1.489473223
70.5,71.5,69.5,126,mean,63,252,1,skew_normal,paleosols,"Nordt et al., 2003",242.5216736,128.069702,-1.489473223
71.4,72.4,70.4,254,mean,127,508,1,skew_normal,paleosols,"Nordt et al., 2003",488.8928975,258.1722565,-1.489473223
71.5,72.5,70.5,289,mean,145,578,1,skew_normal,paleosols,"Nordt et al., 2003",556.6164943,293.6317349,-1.493871243
71.6,72.6,70.6,294,mean,147,589,1,skew_normal,paleosols,"Nordt et al., 2003",567.165154,299.7302964,-1.493781641
280.7,282,279.3,133,mean,67,267,1,skew_normal,paleosols,"Tabor et al., 2004",257.630013,135.9688737,-1.508553044
273.7,275,272.3,133,mean,67,267,1,skew_normal,paleosols,"Tabor et al., 2004",257.630013,135.9688737,-1.508553044
83.3,100.5,66,740,mean,370,1480,1,skew_normal,paleosols,"Ghosh et al., 2005 (and 1995, 2001)",1424.333639,752.1553928,-1.489473223
182.4,201.3,163.5,1113,mean,556,2225,1,skew_normal,paleosols,"Ghosh et al., 2005 (and 1995, 2001)",2140.635788,1130.496193,-1.487193138
232.7,237,228.4,585,mean,293,1170,1,skew_normal,paleosols,"Ghosh et al., 2005 (and 1995, 2001)",1126.350164,594.4939962,-1.491644035
242.1,247.1,237,605,mean,303,1210,1,skew_normal,paleosols,"Ghosh et al., 2005 (and 1995, 2001)",1164.845675,614.8225237,-1.491572214
279.4,298.9,259.8,358,mean,179,715,1,skew_normal,paleosols,"Ghosh et al., 2005 (and 1995, 2001)",687.7875084,362.9792218,-1.485923917
219,228.4,209.5,880,mean,440,1760,1,skew_normal,paleosols,"Prochnow et al., 2006",1693.802165,894.4550617,-1.489473223
219,228.4,209.5,695,mean,348,1390,1,skew_normal,paleosols,"Prochnow et al., 2006",1338.075468,706.300895,-1.491300209
232.7,237,228.4,116,mean,58,232,1,skew_normal,paleosols,"Prochnow et al., 2006",223.2739217,117.90544,-1.489473223
246.1,247.1,245,580,mean,290,1160,1,skew_normal,paleosols,"Prochnow et al., 2006",1116.369609,589.5271998,-1.489473223
246.1,247.1,245,300,mean,150,600,1,skew_normal,paleosols,"Prochnow et al., 2006",577.4325562,304.927862,-1.489473223
92.2,93,91.3,772,mean,386,1544,1,skew_normal,paleosols,"Sandler, 2006",1485.926444,784.6810314,-1.489473223
300.2,NA,NA,882,mean,282,1347,1,skew_normal,paleosols,"Monta_ez et al., 2007",475.6799176,635.0595245,0.899172751
299.9,NA,NA,697,mean,185,1102,1,skew_normal,paleosols,"Monta_ez et al., 2007",360.0970231,542.2937337,0.866738005
299.7,NA,NA,399,mean,88,650,1,skew_normal,paleosols,"Monta_ez et al., 2007",200.6144624,329.5451488,0.833808517
298.6,NA,NA,515,mean,0,996,1,skew_normal,paleosols,"Monta_ez et al., 2007",296.3447201,540.1290525,0.529525389
297.9,NA,NA,288,mean,0,878,1,skew_normal,paleosols,"Monta_ez et al., 2007",838.5734432,598.0585092,-1.519943094
296.6,NA,NA,65,mean,0,304,1,skew_normal,paleosols,"Monta_ez et al., 2007",319.6892428,227.5354494,-2.295369917
295.9,NA,NA,47,mean,0,210,1,skew_normal,paleosols,"Monta_ez et al., 2007",219.2633762,156.062413,-2.21297658
294.3,NA,NA,50,mean,0,271,1,skew_normal,paleosols,"Monta_ez et al., 2007",290.7261886,206.9139644,-2.564681496
293.1,NA,NA,208,mean,0,468,1,skew_normal,paleosols,"Monta_ez et al., 2007",376.1870713,275.4601052,-0.848374174
290.5,NA,NA,600,mean,234,966,1,skew_normal,paleosols,"Monta_ez et al., 2007",600.4044973,368.0399414,-0.001377466
290.5,NA,NA,461,mean,144,678,1,skew_normal,paleosols,"Monta_ez et al., 2007",216.0199279,332.8607235,1.080228271
290.4,NA,NA,1700,mean,530,2497,1,skew_normal,paleosols,"Monta_ez et al., 2007",792.0725911,1228.036128,1.08698684
290.4,NA,NA,419,mean,131,616,1,skew_normal,paleosols,"Monta_ez et al., 2007",196.2892378,302.3908191,1.081267398
290.2,NA,NA,411,mean,96,538,1,skew_normal,paleosols,"Monta_ez et al., 2007",99.27084424,312.4612821,1.764176853
289.9,NA,NA,620,mean,102,770,1,skew_normal,paleosols,"Monta_ez et al., 2007",72.90913386,496.1609946,2.207025321
289.4,NA,NA,182,mean,11,353,1,skew_normal,paleosols,"Monta_ez et al., 2007",182.4091895,171.9534704,-0.002982463
288.9,NA,NA,183,mean,24,342,1,skew_normal,paleosols,"Monta_ez et al., 2007",182.6601542,159.8864686,0.002663983
287.4,NA,NA,397,mean,249,544,1,skew_normal,paleosols,"Monta_ez et al., 2007",369.0644576,150.8422152,0.234126353
287,NA,NA,1030,mean,676,1396,1,skew_normal,paleosols,"Monta_ez et al., 2007",1150.338603,379.7142375,-0.407564391
286.9,NA,NA,1449,mean,899,1999,1,skew_normal,paleosols,"Monta_ez et al., 2007",1447.656102,553.0667843,0.003045442
285.8,NA,NA,774,mean,465,1084,1,skew_normal,paleosols,"Monta_ez et al., 2007",819.4281883,314.4542732,-0.182014406
285,NA,NA,792,mean,460,1124,1,skew_normal,paleosols,"Monta_ez et al., 2007",791.248855,333.851082,0.002819891
284.8,NA,NA,792,mean,460,1124,1,skew_normal,paleosols,"Monta_ez et al., 2007",792.8884513,333.8514194,-0.003335356
284.5,NA,NA,824,mean,480,1168,1,skew_normal,paleosols,"Monta_ez et al., 2007",823.2408892,345.917946,0.002750384
283.8,NA,NA,1012,mean,604,1419,1,skew_normal,paleosols,"Monta_ez et al., 2007",957.5407986,413.3114128,0.165862055
283.4,NA,NA,1100,mean,679,1520,1,skew_normal,paleosols,"Monta_ez et al., 2007",1044.400497,426.421207,0.164114048
282.4,NA,NA,899,mean,566,1233,1,skew_normal,paleosols,"Monta_ez et al., 2007",946.7186914,338.6696649,-0.177475513
281.1,NA,NA,1248,mean,759,1737,1,skew_normal,paleosols,"Monta_ez et al., 2007",1246.763381,491.7267532,0.00315191
277.6,NA,NA,1237,mean,788,1685,1,skew_normal,paleosols,"Monta_ez et al., 2007",1178.983571,454.6551452,0.16058463
210.7,211.9,209.5,111,mean,56,222,1,skew_normal,paleosols,"Cleveland et al., 2008",214.0058336,112.7075406,-1.500955646
211.8,214,209.5,544,mean,272,1088,1,skew_normal,paleosols,"Cleveland et al., 2008",1047.077702,552.9358564,-1.489473223
