"","age","age_old","age_young","co2","type","co2_low","co2_high","co2_range","distribution","proxy_type","reference","meanlog_co2","sdlog_co2"
"53",223.3,237,209.5,732,"mean",366,1464,1,"skew_normal","paleosols","Ekart et al., 1999",6.59578051396131,0.697010091893199
"54",223.3,237,209.5,1140,"mean",570,2280,1,"skew_normal","paleosols","Ekart et al., 1999",7.03878354138854,0.697010091893198
"55",242.1,247.1,237,244,"mean",122,488,1,"skew_normal","paleosols","Ekart et al., 1999",5.4971682252932,0.697010091893199
"56",259.4,259.8,259,400,"mean",200,800,1,"skew_normal","paleosols","Ekart et al., 1999",5.99146454710798,0.697010091893199
"58",303,307,298.9,608,"mean",304,1216,1,"skew_normal","paleosols","Ekart et al., 1999",6.41017488196617,0.697010091893198
"59",344.8,347,342.5,824,"mean",412,1648,1,"skew_normal","paleosols","Ekart et al., 1999",6.71417052990947,0.697010091893199
"60",388,393.3,382.7,624,"mean",312,1248,1,"skew_normal","paleosols","Ekart et al., 1999",6.43615036836943,0.697010091893199
"61",130.1,133.9,126.3,1150,"mean",575,2300,1,"skew_normal","paleosols","Lee, 1999",7.0475172213573,0.697010091893198
"62",134.3,136.5,132,653,"mean",327,1307,1,"skew_normal","paleosols","Lee & Hisada, 1999  (updated by Hong and Lee, 2012)",6.48272494226074,0.696625551529129
"63",365.6,372.2,358.9,1140,"mean",570,2280,1,"skew_normal","paleosols","Driese et al., 2000",7.03878354138854,0.697010091893198
"64",365.6,372.2,358.9,1260,"mean",630,2520,1,"skew_normal","paleosols","Driese et al., 2000",7.13886699994552,0.697010091893199
"65",402.6,407.6,397.5,1320,"mean",660,2640,1,"skew_normal","paleosols","Driese et al., 2000",7.18538701558042,0.697010091893198
"66",421.1,423,419.2,1440,"mean",720,2880,1,"skew_normal","paleosols","Driese et al., 2000",7.27239839257005,0.697010091893199
"67",377.5,382.7,372.2,1120,"mean",560,2240,1,"skew_normal","paleosols","Cox et al., 2001",7.02108396428914,0.697010091893199
"68",385.2,387.7,382.7,1560,"mean",780,3120,1,"skew_normal","paleosols","Cox et al., 2001",7.35244110024358,0.697010091893199
"69",54.2,54.5,53.9,814,"mean",407,1627,1,"skew_normal","paleosols","Royer et al., 2001b",6.70165314633082,0.696701160085315
"70",54.9,55.2,54.6,231,"mean",115,462,1,"skew_normal","paleosols","Royer et al., 2001b",5.44024850972249,0.699191381655112
"71",56.2,56.5,55.9,461,"mean",230,922,1,"skew_normal","paleosols","Royer et al., 2001b",6.13231226623989,0.698101919687101
"72",56.5,56.8,56.2,487,"mean",243,974,1,"skew_normal","paleosols","Royer et al., 2001b",6.18723637349154,0.698043569135825
"73",56.7,57,56.4,579,"mean",290,1158,1,"skew_normal","paleosols","Royer et al., 2001b",6.36216529055673,0.696142470450096
"74",57.3,57.6,57,816,"mean",408,1633,1,"skew_normal","paleosols","Royer et al., 2001b",6.70472063368731,0.697318077508656
"75",57.7,58,57.4,474,"mean",237,948,1,"skew_normal","paleosols","Royer et al., 2001b",6.16120732169508,0.697010091893198
"76",200.3,201.3,199.3,992,"mean",496,1984,1,"skew_normal","paleosols","Tanner et al., 2001",6.89972310728487,0.697010091893199
"77",223.3,237,209.5,900,"mean",450,1800,1,"skew_normal","paleosols","Tanner et al., 2001",6.80239476332431,0.697010091893199
"78",130.1,130.8,129.4,112,"mean",56,224,1,"skew_normal","paleosols","Robinson et al., 2002",4.71849887129509,0.697010091893198
"79",64.8,65,64.7,400,"mean",200,800,1,"skew_normal","paleosols","Nordt et al., 2002",5.99146454710798,0.697010091893199
"80",65.3,65.7,65,340,"mean",170,680,1,"skew_normal","paleosols","Nordt et al., 2002",5.82894561761021,0.697010091893198
"81",65.9,66.3,65.5,300,"mean",150,600,1,"skew_normal","paleosols","Nordt et al., 2002",5.7037824746562,0.697010091893198
"82",67.2,68.1,66.3,560,"mean",280,1120,1,"skew_normal","paleosols","Nordt et al., 2002",6.32793678372919,0.697010091893198
"83",67.2,68.1,66.3,300,"mean",150,600,1,"skew_normal","paleosols","Nordt et al., 2002",5.7037824746562,0.697010091893198
"84",77.1,80,74.3,480,"mean",240,960,1,"skew_normal","paleosols","Nordt et al., 2002",6.17378610390194,0.697010091893198
"85",65.2,66.2,64.2,178,"mean",89,356,1,"skew_normal","paleosols","Nordt et al., 2003",5.18178355029209,0.697010091893198
"86",65.2,66.2,64.2,163,"mean",81,326,1,"skew_normal","paleosols","Nordt et al., 2003",5.09067326801957,0.700104172436115
"88",65.6,66.6,64.6,111,"mean",56,222,1,"skew_normal","paleosols","Nordt et al., 2003",4.71401453630371,0.692500765689351
"89",65.8,66.8,64.8,178,"mean",89,355,1,"skew_normal","paleosols","Nordt et al., 2003",5.18037707960378,0.695595782939492
"91",66.1,67.1,65.1,183,"mean",92,366,1,"skew_normal","paleosols","Nordt et al., 2003",5.2122109552252,0.694270104177492
"92",66.2,67.2,65.2,277,"mean",139,555,1,"skew_normal","paleosols","Nordt et al., 2003",5.62672102343856,0.696104985435428
"97",66.6,67.6,65.6,263,"mean",132,527,1,"skew_normal","paleosols","Nordt et al., 2003",5.57500123556387,0.696056941841846
"98",66.7,67.7,65.7,453,"mean",226,906,1,"skew_normal","paleosols","Nordt et al., 2003",6.11478715265763,0.698121222735497
"99",66.9,67.9,65.9,426,"mean",213,852,1,"skew_normal","paleosols","Nordt et al., 2003",6.05443934626937,0.697010091893198
"100",66.9,67.9,65.9,265,"mean",133,531,1,"skew_normal","paleosols","Nordt et al., 2003",5.58255557473185,0.696064115129641
"101",67,68,66,219,"mean",110,438,1,"skew_normal","paleosols","Nordt et al., 2003",5.39134963808443,0.694719488835603
"102",67,68,66,128,"mean",64,257,1,"skew_normal","paleosols","Nordt et al., 2003",4.85397958412745,0.69897027566844
"104",68.7,69.7,67.7,171,"mean",85,341,1,"skew_normal","paleosols","Nordt et al., 2003",5.13726686688692,0.698486705293774
"105",68.8,69.8,67.8,110,"mean",55,219,1,"skew_normal","paleosols","Nordt et al., 2003",4.69820245752449,0.694719488835602
"106",69,70,68,158,"mean",79,317,1,"skew_normal","paleosols","Nordt et al., 2003",5.06417481317215,0.698598676157908
"107",69.1,70.1,68.1,138,"mean",69,277,1,"skew_normal","paleosols","Nordt et al., 2003",4.9290620053923,0.698828489902431
"108",69.3,70.3,68.3,202,"mean",101,404,1,"skew_normal","paleosols","Nordt et al., 2003",5.30826769740121,0.697010091893198
"109",69.4,70.4,68.4,145,"mean",73,290,1,"skew_normal","paleosols","Nordt et al., 2003",4.98017018206446,0.693554500960791
"110",69.5,70.5,68.5,345,"mean",172,689,1,"skew_normal","paleosols","Nordt et al., 2003",5.84136787391356,0.69774035564033
"111",69.7,70.7,68.7,204,"mean",102,407,1,"skew_normal","paleosols","Nordt et al., 2003",5.31689299936343,0.695776259368464
"112",69.9,70.9,68.9,309,"mean",155,618,1,"skew_normal","paleosols","Nordt et al., 2003",5.73495678718847,0.69538557835874
"113",70,71,69,375,"mean",188,751,1,"skew_normal","paleosols","Nordt et al., 2003",5.92892380729704,0.696341047880288
"114",70.1,71.1,69.1,329,"mean",164,657,1,"skew_normal","paleosols","Nordt et al., 2003",5.7937752231544,0.697775951144877
"115",70.2,71.2,69.2,122,"mean",61,243,1,"skew_normal","paleosols","Nordt et al., 2003",4.80196765375693,0.694945257362751
"117",70.5,71.5,69.5,126,"mean",63,252,1,"skew_normal","paleosols","Nordt et al., 2003",4.83628190695148,0.697010091893198
"118",71.4,72.4,70.4,254,"mean",127,508,1,"skew_normal","paleosols","Nordt et al., 2003",5.53733426701854,0.697010091893198
"119",71.5,72.5,70.5,289,"mean",145,578,1,"skew_normal","paleosols","Nordt et al., 2003",5.66815380554648,0.695273349228472
"120",71.6,72.6,70.6,294,"mean",147,589,1,"skew_normal","paleosols","Nordt et al., 2003",5.68442938521516,0.697864444692673
"121",280.7,282,279.3,133,"mean",67,267,1,"skew_normal","paleosols","Tabor et al., 2004",4.89597063889561,0.695130513997681
"122",273.7,275,272.3,133,"mean",67,267,1,"skew_normal","paleosols","Tabor et al., 2004",4.89597063889561,0.695130513997682
"123",83.3,100.5,66,740,"mean",370,1480,1,"skew_normal","paleosols","Ghosh et al., 2005 (and 1995, 2001)",6.60665018619822,0.697010091893199
"124",182.4,201.3,163.5,1113,"mean",556,2225,1,"skew_normal","paleosols","Ghosh et al., 2005 (and 1995, 2001)",7.01414024442546,0.697236114149876
"125",232.7,237,228.4,585,"mean",293,1170,1,"skew_normal","paleosols","Ghosh et al., 2005 (and 1995, 2001)",6.37246581840443,0.696151361536693
"126",242.1,247.1,237,605,"mean",303,1210,1,"skew_normal","paleosols","Ghosh et al., 2005 (and 1995, 2001)",6.40605422205008,0.696179725888586
"127",279.4,298.9,259.8,358,"mean",179,715,1,"skew_normal","paleosols","Ghosh et al., 2005 (and 1995, 2001)",5.87983417426738,0.696307385277747
"128",219,228.4,209.5,880,"mean",440,1760,1,"skew_normal","paleosols","Prochnow et al., 2006",6.77992190747225,0.697010091893198
"129",219,228.4,209.5,695,"mean",348,1390,1,"skew_normal","paleosols","Prochnow et al., 2006",6.54463075294961,0.696287178035356
"130",232.7,237,228.4,116,"mean",58,232,1,"skew_normal","paleosols","Prochnow et al., 2006",4.75359019110636,0.697010091893199
"131",246.1,247.1,245,580,"mean",290,1160,1,"skew_normal","paleosols","Prochnow et al., 2006",6.36302810354046,0.697010091893198
"132",246.1,247.1,245,300,"mean",150,600,1,"skew_normal","paleosols","Prochnow et al., 2006",5.7037824746562,0.697010091893198
"133",92.2,93,91.3,772,"mean",386,1544,1,"skew_normal","paleosols","Sandler, 2006",6.64898455002478,0.697010091893198
"134",300.2,NA,NA,882,"mean",282,1347,1,"skew_normal","paleosols","Monta_ez et al., 2007",6.42377112367424,0.786221383466286
"135",299.9,NA,NA,697,"mean",185,1102,1,"skew_normal","paleosols","Monta_ez et al., 2007",6.11261890739559,0.897235667173116
"136",299.7,NA,NA,399,"mean",88,650,1,"skew_normal","paleosols","Monta_ez et al., 2007",5.47715458868394,1.00538976168471
"137",298.6,NA,NA,515,"mean",266.29016064257,996,1,"skew_normal","paleosols","Monta_ez et al., 2007",6.24416690066374,0.663256200244473
"138",297.9,NA,NA,288,"mean",94.4692482915718,878,1,"skew_normal","paleosols","Monta_ez et al., 2007",5.66296048013595,1.12089826258038
"142",293.1,NA,NA,208,"mean",92.4444444444444,468,1,"skew_normal","paleosols","Monta_ez et al., 2007",5.33753807970132,0.815449532763457
"143",290.5,NA,NA,600,"mean",234,966,1,"skew_normal","paleosols","Monta_ez et al., 2007",6.16424247478511,0.712872180307189
"144",290.5,NA,NA,461,"mean",144,678,1,"skew_normal","paleosols","Monta_ez et al., 2007",5.7444802937582,0.778984215683273
