"","age","age_old","age_young","co2","type","co2_low","co2_high","co2_range","distribution","proxy_type","reference","shape1_co2","shape2_co2"
"53",223.3,237,209.5,732,"mean",366,1464,1,"skew_normal","paleosols","Ekart et al., 1999",2.20563247138994,21.9651527916437
"54",223.3,237,209.5,1140,"mean",570,2280,1,"skew_normal","paleosols","Ekart et al., 1999",2.11022840400611,12.7608956144197
"55",242.1,247.1,237,244,"mean",122,488,1,"skew_normal","paleosols","Ekart et al., 1999",2.31737987853329,73.725030730427
"56",259.4,259.8,259,400,"mean",200,800,1,"skew_normal","paleosols","Ekart et al., 1999",2.28190777572976,43.4218773259665
"58",303,307,298.9,608,"mean",304,1216,1,"skew_normal","paleosols","Ekart et al., 1999",2.23425204703526,27.22977968478
"59",344.8,347,342.5,824,"mean",412,1648,1,"skew_normal","paleosols","Ekart et al., 1999",2.18429046302357,19.087407035234
"60",388,393.3,382.7,624,"mean",312,1248,1,"skew_normal","paleosols","Ekart et al., 1999",2.23056851639803,26.4324011770902
"61",130.1,133.9,126.3,1150,"mean",575,2300,1,"skew_normal","paleosols","Lee, 1999",2.10786590416977,12.6179577465354
"62",134.3,136.5,132,653,"mean",327,1307,1,"skew_normal","paleosols","Lee & Hisada, 1999  (updated by Hong and Lee, 2012)",2.22585770082289,25.0841698177528
"63",365.6,372.2,358.9,1140,"mean",570,2280,1,"skew_normal","paleosols","Driese et al., 2000",2.11022838840428,12.7608962408889
"64",365.6,372.2,358.9,1260,"mean",630,2520,1,"skew_normal","paleosols","Driese et al., 2000",2.08176884751072,11.1971599336464
"65",402.6,407.6,397.5,1320,"mean",660,2640,1,"skew_normal","paleosols","Driese et al., 2000",2.06746437406457,10.5233580638816
"66",421.1,423,419.2,1440,"mean",720,2880,1,"skew_normal","paleosols","Driese et al., 2000",2.03869720615179,9.3468389966314
"67",377.5,382.7,372.2,1120,"mean",560,2240,1,"skew_normal","paleosols","Cox et al., 2001",2.11495294595988,13.0545406674334
"68",385.2,387.7,382.7,1560,"mean",780,3120,1,"skew_normal","paleosols","Cox et al., 2001",2.00970957172032,8.35455110738906
"69",54.2,54.5,53.9,814,"mean",407,1627,1,"skew_normal","paleosols","Royer et al., 2001b",2.18836838223309,19.3945017165161
"70",54.9,55.2,54.6,231,"mean",115,462,1,"skew_normal","paleosols","Royer et al., 2001b",2.30779780408253,77.7484100981618
"71",56.2,56.5,55.9,461,"mean",230,922,1,"skew_normal","paleosols","Royer et al., 2001b",2.26189406724968,37.0733858012074
"72",56.5,56.8,56.2,487,"mean",243,974,1,"skew_normal","paleosols","Royer et al., 2001b",2.25629098435441,34.8895939428154
"73",56.7,57,56.4,579,"mean",290,1158,1,"skew_normal","paleosols","Royer et al., 2001b",2.24569158574979,28.8379497644431
"74",57.3,57.6,57,816,"mean",408,1633,1,"skew_normal","paleosols","Royer et al., 2001b",2.18440498556156,19.2859496657101
"75",57.7,58,57.4,474,"mean",237,948,1,"skew_normal","paleosols","Royer et al., 2001b",2.26500168019187,36.0288744519775
"76",200.3,201.3,199.3,992,"mean",496,1984,1,"skew_normal","paleosols","Tanner et al., 2001",2.14506833011171,15.2176527617255
"77",223.3,237,209.5,900,"mean",450,1800,1,"skew_normal","paleosols","Tanner et al., 2001",2.16658843958735,17.1564580735462
"78",130.1,130.8,129.4,112,"mean",56,224,1,"skew_normal","paleosols","Robinson et al., 2002",2.34722606603206,165.362756850168
"79",64.8,65,64.7,400,"mean",200,800,1,"skew_normal","paleosols","Nordt et al., 2002",2.28190782199109,43.4218782777146
"80",65.3,65.7,65,340,"mean",170,680,1,"skew_normal","paleosols","Nordt et al., 2002",2.29557721064879,51.7829937956065
"81",65.9,66.3,65.5,300,"mean",150,600,1,"skew_normal","paleosols","Nordt et al., 2002",2.30467181958472,59.2175400462364
"82",67.2,68.1,66.3,560,"mean",280,1120,1,"skew_normal","paleosols","Nordt et al., 2002",2.24528791643936,29.8963123245912
"83",67.2,68.1,66.3,300,"mean",150,600,1,"skew_normal","paleosols","Nordt et al., 2002",2.30467178026579,59.2175387542218
"84",77.1,80,74.3,480,"mean",240,960,1,"skew_normal","paleosols","Nordt et al., 2002",2.26362918942274,35.5295348396486
"85",65.2,66.2,64.2,178,"mean",89,356,1,"skew_normal","paleosols","Nordt et al., 2003",2.3323217815387,102.550382990255
"86",65.2,66.2,64.2,163,"mean",81,326,1,"skew_normal","paleosols","Nordt et al., 2003",2.3178067951343,111.639094082141
"88",65.6,66.6,64.6,111,"mean",56,222,1,"skew_normal","paleosols","Nordt et al., 2003",2.37416419834066,168.476375766357
"89",65.8,66.8,64.8,178,"mean",89,355,1,"skew_normal","paleosols","Nordt et al., 2003",2.34068131622449,103.153875748726
"91",66.1,67.1,65.1,183,"mean",92,366,1,"skew_normal","paleosols","Nordt et al., 2003",2.34720036916977,100.208822483637
"92",66.2,67.2,65.2,277,"mean",139,555,1,"skew_normal","paleosols","Nordt et al., 2003",2.31497932909336,64.4625343227553
"97",66.6,67.6,65.6,263,"mean",132,527,1,"skew_normal","paleosols","Nordt et al., 2003",2.31844345502407,68.1070206860509
"98",66.7,67.7,65.7,453,"mean",226,906,1,"skew_normal","paleosols","Nordt et al., 2003",2.26360841980476,37.7957391228857
"99",66.9,67.9,65.9,426,"mean",213,852,1,"skew_normal","paleosols","Nordt et al., 2003",2.27597389833248,40.5311215159846
"100",66.9,67.9,65.9,265,"mean",133,531,1,"skew_normal","paleosols","Nordt et al., 2003",2.31794683563516,67.5627842677897
"101",67,68,66,219,"mean",110,438,1,"skew_normal","paleosols","Nordt et al., 2003",2.33634773989912,82.9924689099518
"102",67,68,66,128,"mean",64,257,1,"skew_normal","paleosols","Nordt et al., 2003",2.33207812742586,143.023966508279
"104",68.7,69.7,67.7,171,"mean",85,341,1,"skew_normal","paleosols","Nordt et al., 2003",2.32545125572657,106.91013635983
"105",68.8,69.8,67.8,110,"mean",55,219,1,"skew_normal","paleosols","Nordt et al., 2003",2.36129758225103,170.044892283639
"106",69,70,68,158,"mean",79,317,1,"skew_normal","paleosols","Nordt et al., 2003",2.32750089527599,115.281545033405
"107",69.1,70.1,68.1,138,"mean",69,277,1,"skew_normal","paleosols","Nordt et al., 2003",2.33065877647507,132.445978349262
"108",69.3,70.3,68.3,202,"mean",101,404,1,"skew_normal","paleosols","Nordt et al., 2003",2.32689264975884,89.8881030836432
"109",69.4,70.4,68.4,145,"mean",73,290,1,"skew_normal","paleosols","Nordt et al., 2003",2.36010676734934,127.727315956347
"110",69.5,70.5,68.5,345,"mean",172,689,1,"skew_normal","paleosols","Nordt et al., 2003",2.29041338484696,50.9784580685647
"111",69.7,70.7,68.7,204,"mean",102,407,1,"skew_normal","paleosols","Nordt et al., 2003",2.33371857734977,89.4247738474792
"112",69.9,70.9,68.9,309,"mean",155,618,1,"skew_normal","paleosols","Nordt et al., 2003",2.31192937290506,57.5690005195817
"113",70,71,69,375,"mean",188,751,1,"skew_normal","paleosols","Nordt et al., 2003",2.29128073715503,46.576482141015
"114",70.1,71.1,69.1,329,"mean",164,657,1,"skew_normal","paleosols","Nordt et al., 2003",2.29384213615167,53.650478437767
"115",70.2,71.2,69.2,122,"mean",61,243,1,"skew_normal","paleosols","Nordt et al., 2003",2.35723338017559,152.775214535859
"117",70.5,71.5,69.5,126,"mean",63,252,1,"skew_normal","paleosols","Nordt et al., 2003",2.34406750718752,146.53912274172
"118",71.4,72.4,70.4,254,"mean",127,508,1,"skew_normal","paleosols","Nordt et al., 2003",2.31511255514672,70.6649055759134
"119",71.5,72.5,70.5,289,"mean",145,578,1,"skew_normal","paleosols","Nordt et al., 2003",2.31714615916201,61.8443293521663
"120",71.6,72.6,70.6,294,"mean",147,589,1,"skew_normal","paleosols","Nordt et al., 2003",2.30104438911745,60.2918430734804
"121",280.7,282,279.3,133,"mean",67,267,1,"skew_normal","paleosols","Tabor et al., 2004",2.35341244693473,138.622888712544
"122",273.7,275,272.3,133,"mean",67,267,1,"skew_normal","paleosols","Tabor et al., 2004",2.35341246398714,138.622890049952
"123",83.3,100.5,66,740,"mean",370,1480,1,"skew_normal","paleosols","Ghosh et al., 2005 (and 1995, 2001)",2.20378035731256,21.6863448905735
"124",182.4,201.3,163.5,1113,"mean",556,2225,1,"skew_normal","paleosols","Ghosh et al., 2005 (and 1995, 2001)",2.11558262613022,13.1617645792522
"125",232.7,237,228.4,585,"mean",293,1170,1,"skew_normal","paleosols","Ghosh et al., 2005 (and 1995, 2001)",2.24425917978637,28.5017709459977
"126",242.1,247.1,237,605,"mean",303,1210,1,"skew_normal","paleosols","Ghosh et al., 2005 (and 1995, 2001)",2.23948920626365,27.4295707999501
"127",279.4,298.9,259.8,358,"mean",179,715,1,"skew_normal","paleosols","Ghosh et al., 2005 (and 1995, 2001)",2.29558182533096,49.1246941902701
"128",219,228.4,209.5,880,"mean",440,1760,1,"skew_normal","paleosols","Prochnow et al., 2006",2.1712534643506,17.6320379115872
"129",219,228.4,209.5,695,"mean",348,1390,1,"skew_normal","paleosols","Prochnow et al., 2006",2.21809338507252,23.3720761280485
"130",232.7,237,228.4,116,"mean",58,232,1,"skew_normal","paleosols","Prochnow et al., 2006",2.34632377300643,159.520875266037
"131",246.1,247.1,245,580,"mean",290,1160,1,"skew_normal","paleosols","Prochnow et al., 2006",2.24069253159258,28.7314449449139
"132",246.1,247.1,245,300,"mean",150,600,1,"skew_normal","paleosols","Prochnow et al., 2006",2.30467193502371,59.2175415729499
"133",92.2,93,91.3,772,"mean",386,1544,1,"skew_normal","paleosols","Sandler, 2006",2.19636498657014,20.6291961650762
"134",300.2,NA,NA,882,"mean",282,1347,1,"skew_normal","paleosols","Monta_ez et al., 2007",1.81370204354753,20.5429725063127
"135",299.9,NA,NA,697,"mean",185,1102,1,"skew_normal","paleosols","Monta_ez et al., 2007",1.47901263208831,21.6295180357726
"136",299.7,NA,NA,399,"mean",88,650,1,"skew_normal","paleosols","Monta_ez et al., 2007",1.25677274057485,32.9872825216897
"137",298.6,NA,NA,515,"mean",266.29016064257,996,1,"skew_normal","paleosols","Monta_ez et al., 2007",2.46119113722384,36.5908846258503
"138",297.9,NA,NA,288,"mean",94.4692482915718,878,1,"skew_normal","paleosols","Monta_ez et al., 2007",1.05535326066098,20.8542910696544
"142",293.1,NA,NA,208,"mean",92.4444444444444,468,1,"skew_normal","paleosols","Monta_ez et al., 2007",1.77604498101107,61.7213032474958
"143",290.5,NA,NA,600,"mean",234,966,1,"skew_normal","paleosols","Monta_ez et al., 2007",2.17753070099046,34.1853609132233
"144",290.5,NA,NA,461,"mean",144,678,1,"skew_normal","paleosols","Monta_ez et al., 2007",1.89974047416763,44.4176712079286
"145",290.4,NA,NA,1700,"mean",530,2497,1,"skew_normal","paleosols","Monta_ez et al., 2007",1.73804165115583,9.8236686626721
"146",290.4,NA,NA,419,"mean",131,616,1,"skew_normal","paleosols","Monta_ez et al., 2007",1.90773821306677,49.2655530100641
"147",290.2,NA,NA,411,"mean",96,538,1,"skew_normal","paleosols","Monta_ez et al., 2007",1.60147304497019,49.0548572247688
"148",289.9,NA,NA,620,"mean",102,770,1,"skew_normal","paleosols","Monta_ez et al., 2007",1.23041396094478,27.1688519815216
"149",289.4,NA,NA,182,"mean",11,353,1,"skew_normal","paleosols","Monta_ez et al., 2007",0.574438254438079,31.4712189405189
"150",288.9,NA,NA,183,"mean",24,342,1,"skew_normal","paleosols","Monta_ez et al., 2007",0.828383992054473,44.8482931304317
"151",287.4,NA,NA,397,"mean",249,544,1,"skew_normal","paleosols","Monta_ez et al., 2007",6.55845938332826,158.817028675638
"152",287,NA,NA,1030,"mean",676,1396,1,"skew_normal","paleosols","Monta_ez et al., 2007",7.0986687869023,61.4213140466689
"153",286.9,NA,NA,1449,"mean",899,1999,1,"skew_normal","paleosols","Monta_ez et al., 2007",5.65988447826757,33.4119796620138
"154",285.8,NA,NA,774,"mean",465,1084,1,"skew_normal","paleosols","Monta_ez et al., 2007",5.44136561705065,64.8181057153488
"155",285,NA,NA,792,"mean",460,1124,1,"skew_normal","paleosols","Monta_ez et al., 2007",4.90969619048875,57.0896133939815
"156",284.8,NA,NA,792,"mean",460,1124,1,"skew_normal","paleosols","Monta_ez et al., 2007",4.90969573622042,57.0896085908257
"157",284.5,NA,NA,824,"mean",480,1168,1,"skew_normal","paleosols","Monta_ez et al., 2007",4.937360601075,54.9908124113965
"158",283.8,NA,NA,1012,"mean",604,1419,1,"skew_normal","paleosols","Monta_ez et al., 2007",5.22623496877046,46.4518583441857
"159",283.4,NA,NA,1100,"mean",679,1520,1,"skew_normal","paleosols","Monta_ez et al., 2007",5.77730340697043,46.7750274788612
"160",282.4,NA,NA,899,"mean",566,1233,1,"skew_normal","paleosols","Monta_ez et al., 2007",6.28961815817846,63.6346970205638
"161",281.1,NA,NA,1248,"mean",759,1737,1,"skew_normal","paleosols","Monta_ez et al., 2007",5.40914306805967,37.9447057715051
"162",277.6,NA,NA,1237,"mean",788,1685,1,"skew_normal","paleosols","Monta_ez et al., 2007",6.36093726900328,45.0882907925624
"163",210.7,211.9,209.5,111,"mean",56,222,1,"skew_normal","paleosols","Cleveland et al., 2008",2.37416407520558,168.476369204413
"164",211.8,214,209.5,544,"mean",272,1088,1,"skew_normal","paleosols","Cleveland et al., 2008",2.24896116856443,30.8900664642057
"165",211.8,214,209.5,643,"mean",322,1287,1,"skew_normal","paleosols","Cleveland et al., 2008",2.22819918447784,25.5342750353592
"168",210.7,211.9,209.5,372,"mean",186,743,1,"skew_normal","paleosols","Cleveland et al., 2008",2.29223515944301,47.121354784366
"169",211.8,214,209.5,1667,"mean",833,3333,1,"skew_normal","paleosols","Cleveland et al., 2008",1.98309228299813,7.59405966389532
"170",211.8,214,209.5,1702,"mean",851,3404,1,"skew_normal","paleosols","Cleveland et al., 2008",1.97509988747728,7.36487662394004
"171",211.8,214,209.5,1596,"mean",798,3192,1,"skew_normal","paleosols","Cleveland et al., 2008",2.00096701386983,8.08657017124899
"172",210.7,211.9,209.5,344,"mean",172,688,1,"skew_normal","paleosols","Cleveland et al., 2008",2.29466696575762,51.1347264699245
"173",210.7,211.9,209.5,269,"mean",134,537,1,"skew_normal","paleosols","Cleveland et al., 2008",2.306455264111,66.5042582218857
"174",210.7,211.9,209.5,377,"mean",189,754,1,"skew_normal","paleosols","Cleveland et al., 2008",2.2946999626566,46.4383652078609
"175",211.8,214,209.5,1443,"mean",721,2885,1,"skew_normal","paleosols","Cleveland et al., 2008",2.03726381960924,9.32148104706987
"176",211.8,214,209.5,1191,"mean",596,2383,1,"skew_normal","paleosols","Cleveland et al., 2008",2.09909039494132,12.0554718490586
"177",211.8,214,209.5,1349,"mean",674,2697,1,"skew_normal","paleosols","Cleveland et al., 2008",2.05974665488265,10.2211144683184
"178",211.8,214,209.5,1678,"mean",839,3356,1,"skew_normal","paleosols","Cleveland et al., 2008",1.98097343555986,7.5200912781154
"179",211.8,214,209.5,1295,"mean",648,2591,1,"skew_normal","paleosols","Cleveland et al., 2008",2.07426049210482,10.7947239542238
"180",211.8,214,209.5,1516,"mean",758,3032,1,"skew_normal","paleosols","Cleveland et al., 2008",2.02036465590025,8.69976551316831
"181",210.7,211.9,209.5,560,"mean",280,1119,1,"skew_normal","paleosols","Cleveland et al., 2008",2.24787618226163,29.9535287674036
"182",211.8,214,209.5,1367,"mean",684,2735,1,"skew_normal","paleosols","Cleveland et al., 2008",2.05699371737134,10.0359252225084
"183",205.4,209.5,201.3,1777,"mean",888,3553,1,"skew_normal","paleosols","Cleveland et al., 2008",1.95616443431847,6.90877260765555
"184",205.4,209.5,201.3,1702,"mean",851,3404,1,"skew_normal","paleosols","Cleveland et al., 2008",1.97509965773217,7.36487593163548
"185",205.4,209.5,201.3,1085,"mean",542,2169,1,"skew_normal","paleosols","Cleveland et al., 2008",2.12215032061238,13.59675020918
"186",205.4,209.5,201.3,1191,"mean",596,2383,1,"skew_normal","paleosols","Cleveland et al., 2008",2.09909047035074,12.0554721494793
"187",205.4,209.5,201.3,863,"mean",431,1725,1,"skew_normal","paleosols","Cleveland et al., 2008",2.17380007512351,18.0561304124732
"188",205.4,209.5,201.3,661,"mean",331,1322,1,"skew_normal","paleosols","Cleveland et al., 2008",2.22616635884689,24.7743230507441
"189",205.4,209.5,201.3,1030,"mean",515,2060,1,"skew_normal","paleosols","Cleveland et al., 2008",2.136149058343,14.5187708400439
"190",205.4,209.5,201.3,513,"mean",257,1026,1,"skew_normal","paleosols","Cleveland et al., 2008",2.26150751565862,33.0577052070598
"191",205.4,209.5,201.3,623,"mean",311,1245,1,"skew_normal","paleosols","Cleveland et al., 2008",2.22871314583944,26.4840329769977
"192",205.4,209.5,201.3,1557,"mean",778,3113,1,"skew_normal","paleosols","Cleveland et al., 2008",2.00980224589699,8.37884456455904
"193",205.4,209.5,201.3,1202,"mean",601,2404,1,"skew_normal","paleosols","Cleveland et al., 2008",2.09554883211046,11.9134511989949
"194",205.4,209.5,201.3,1967,"mean",983,3933,1,"skew_normal","paleosols","Cleveland et al., 2008",1.9091009555276,5.91053220118038
"195",205.4,209.5,201.3,1783,"mean",891,3565,1,"skew_normal","paleosols","Cleveland et al., 2008",1.95468910656652,6.87389125270236
"196",205.4,209.5,201.3,880,"mean",440,1759,1,"skew_normal","paleosols","Cleveland et al., 2008",2.17286861360492,17.6540274703074
"197",205.4,209.5,201.3,843,"mean",422,1686,1,"skew_normal","paleosols","Cleveland et al., 2008",2.18301705393259,18.5934554796504
"198",205.4,209.5,201.3,1619,"mean",809,3237,1,"skew_normal","paleosols","Cleveland et al., 2008",1.99477343408022,7.92307892188068
"199",205.4,209.5,201.3,1214,"mean",607,2427,1,"skew_normal","paleosols","Cleveland et al., 2008",2.09384952478366,11.7704847816246
"200",205.4,209.5,201.3,614,"mean",307,1227,1,"skew_normal","paleosols","Cleveland et al., 2008",2.23522398579799,26.973058675993
"201",205.4,209.5,201.3,1267,"mean",634,2534,1,"skew_normal","paleosols","Cleveland et al., 2008",2.08205667592881,11.1234413996235
"202",205.4,209.5,201.3,773,"mean",387,1546,1,"skew_normal","paleosols","Cleveland et al., 2008",2.19960142347634,20.623962112651
"203",205.4,209.5,201.3,341,"mean",171,682,1,"skew_normal","paleosols","Cleveland et al., 2008",2.30373965044919,51.7757410465515
"204",205.4,209.5,201.3,961,"mean",481,1922,1,"skew_normal","paleosols","Cleveland et al., 2008",2.15503917317982,15.8451149574774
"205",205.4,209.5,201.3,1171,"mean",586,2342,1,"skew_normal","paleosols","Cleveland et al., 2008",2.10504333845519,12.3357971767186
"206",12.8,NA,NA,273,"mean",193,354,1,"skew_normal","paleosols","Retallack, 2009b (updated by Breecker & Retallack, 2014)",10.7936036706322,383.766407501378
"207",13.1,NA,NA,370,"mean",187,553,1,"skew_normal","paleosols","Retallack, 2009b (updated by Breecker & Retallack, 2014)",3.57163903295026,92.96779432789
"208",13.8,NA,NA,190,"mean",143,237,1,"skew_normal","paleosols","Retallack, 2009b (updated by Breecker & Retallack, 2014)",15.5397625587848,802.191783861885
"209",14.4,NA,NA,132,"mean",86,178,1,"skew_normal","paleosols","Retallack, 2009b (updated by Breecker & Retallack, 2014)",7.70829586385194,576.078162027414
"211",15.1,NA,NA,182,"mean",131,233,1,"skew_normal","paleosols","Retallack, 2009b (updated by Breecker & Retallack, 2014)",12.0475495433148,649.758510248307
"212",15.6,NA,NA,473,"mean",425,521,1,"skew_normal","paleosols","Retallack, 2009b (updated by Breecker & Retallack, 2014)",91.2072496764574,1836.99721970846
"213",16,NA,NA,333,"mean",281,385,1,"skew_normal","paleosols","Retallack, 2009b (updated by Breecker & Retallack, 2014)",38.9087010547765,1129.42717328522
"214",16.1,NA,NA,289,"mean",231,346,1,"skew_normal","paleosols","Retallack, 2009b (updated by Breecker & Retallack, 2014)",23.8749387283665,803.576291968249
"215",95.3,100.5,90,1307,"mean",654,2614,1,"skew_normal","paleosols","Leier et al., 2009",2.07245000632739,10.6716378564063
"216",113.4,126.3,100.5,591,"mean",296,1182,1,"skew_normal","paleosols","Leier et al., 2009",2.24282739891924,28.1724530820865
"217",200.4,NA,NA,1664,"mean",832,3328,1,"skew_normal","paleosols","Schaller et al., 2011",1.98439564214913,7.61275809389673
"218",200.5,NA,NA,2087,"mean",1044,4175,1,"skew_normal","paleosols","Schaller et al., 2011",1.87975478438314,5.37466561940086
"219",200.9,NA,NA,3515,"mean",1758,7031,1,"skew_normal","paleosols","Schaller et al., 2011",1.48513026727217,1.91347888576627
"220",200.9,NA,NA,3294,"mean",1647,6588,1,"skew_normal","paleosols","Schaller et al., 2011",1.55219369982866,2.24340337148863
"221",200.9,NA,NA,1299,"mean",650,2599,1,"skew_normal","paleosols","Schaller et al., 2011",2.07330481054178,10.7503311504933
"222",201,NA,NA,1571,"mean",785,3141,1,"skew_normal","paleosols","Schaller et al., 2011",2.00641433595998,8.27271081403994
"223",201.1,NA,NA,2472,"mean",1236,4944,1,"skew_normal","paleosols","Schaller et al., 2011",1.7803010809892,4.02571584655214
"224",201.1,NA,NA,1761,"mean",881,3523,1,"skew_normal","paleosols","Schaller et al., 2011",1.96113622044811,7.00053981479218
"225",201.2,NA,NA,2307,"mean",1153,4613,1,"skew_normal","paleosols","Schaller et al., 2011",1.82291305413788,4.54750070756208
"226",201.2,NA,NA,2009,"mean",1005,4019,1,"skew_normal","paleosols","Schaller et al., 2011",1.89942221133243,5.71405181590858
"227",201.2,NA,NA,2438,"mean",1219,4876,1,"skew_normal","paleosols","Schaller et al., 2011",1.78920760075313,4.12699882151752
