,age,age_old,age_young,co2,type,co2_low,co2_high,co2_range,distribution,proxy_type,reference,xi_co2,omega_co2,alpha_co2
17,10.6,11.2,9.9,448,mean,224,896,1,skew_normal,paleosols,"Quade et al., 1994 (reported in Ekart et al., 1999)",862.2992839,455.3589405,-1.489473223
18,7.1,8.9,5.3,468,mean,234,936,1,skew_normal,paleosols,"Quade et al., 1994 (reported in Ekart et al., 1999)",900.7947876,475.6874647,-1.489473223
19,55.5,56,55,100,mean,50,200,1,skew_normal,paleosols,"Sinha & Stott, 1994",192.4775187,101.6426207,-1.489473223
20,56.5,57,56,100,mean,50,200,1,skew_normal,paleosols,"Sinha & Stott, 1994",192.4775187,101.6426207,-1.489473223
21,69.1,72.1,66,60,mean,30,120,1,skew_normal,paleosols,"Andrews et al., 1995",115.4865112,60.98557239,-1.489473223
22,7,9,5,148,mean,74,296,1,skew_normal,paleosols,"Quade & Cerling, 1995 (reported in Ekart et al., 1999)",284.8667277,150.4310786,-1.489473223
23,9,11,7,204,mean,102,408,1,skew_normal,paleosols,"Quade & Cerling, 1995 (reported in Ekart et al., 1999)",392.6541382,207.3509461,-1.489473223
24,13,15,11,296,mean,148,592,1,skew_normal,paleosols,"Quade & Cerling, 1995 (reported in Ekart et al., 1999)",569.7334554,300.8621571,-1.489473223
25,13,15,11,176,mean,88,352,1,skew_normal,paleosols,"Quade & Cerling, 1995 (reported in Ekart et al., 1999)",338.7604329,178.8910123,-1.489473223
26,285.6,298.9,272.3,70,mean,35,140,1,skew_normal,paleosols,"Mora et al., 1996",134.7342631,71.14983446,-1.489473223
27,303,307,298.9,250,mean,125,500,1,skew_normal,paleosols,"Mora et al., 1996",481.1937968,254.1065516,-1.489473223
28,327.1,330.9,323.2,290,mean,145,580,1,skew_normal,paleosols,"Mora et al., 1996",558.1848043,294.7635999,-1.489473223
29,327.1,330.9,323.2,210,mean,105,420,1,skew_normal,paleosols,"Mora et al., 1996",404.2027893,213.4495034,-1.489473223
30,332.6,346.7,318.5,320,mean,160,640,1,skew_normal,paleosols,"Mora et al., 1996",615.9280599,325.2563861,-1.489473223
31,338.8,346.7,330.9,190,mean,95,380,1,skew_normal,paleosols,"Mora et al., 1996",365.7072856,193.1209792,-1.489473223
32,365.6,372.2,358.9,395,mean,198,790,1,skew_normal,paleosols,"Mora et al., 1996",760.6427778,401.372968,-1.492689533
33,365.6,372.2,358.9,600,mean,300,1200,1,skew_normal,paleosols,"Mora et al., 1996",1154.865112,609.8557239,-1.489473223
34,423.3,427.4,419.2,1680,mean,840,3360,1,skew_normal,paleosols,"Mora et al., 1996",3233.622314,1707.596027,-1.489473223
35,5,NA,NA,324,mean,162,648,1,skew_normal,paleosols,"Ekart et al., 1999",623.6271606,329.3220909,-1.489473223
36,21,NA,NA,312,mean,156,624,1,skew_normal,paleosols,"Ekart et al., 1999",600.5298584,317.1249764,-1.489473223
