"","age","age_old","age_young","co2","type","co2_low","co2_high","co2_range","distribution","proxy_type","reference","mu_co2","sigma_co2"
"229",201.2,NA,NA,2700,"mean",1350,5400,1,"skew_normal","paleosols","Schaller et al., 2011",2700,364.800082101806
"230",201.2,NA,NA,2713,"mean",1357,5427,1,"skew_normal","paleosols","Schaller et al., 2011",2713,364.800082101806
"231",201.2,NA,NA,2823,"mean",1411,5645,1,"skew_normal","paleosols","Schaller et al., 2011",2823,364.800082101806
"232",201.3,NA,NA,2302,"mean",1151,4604,1,"skew_normal","paleosols","Schaller et al., 2011",2302,364.800082101806
"233",201.3,NA,NA,2385,"mean",1192,4769,1,"skew_normal","paleosols","Schaller et al., 2011",2385,364.800082101806
"234",201.4,NA,NA,2389,"mean",1195,4779,1,"skew_normal","paleosols","Schaller et al., 2011",2389,364.800082101806
"235",201.5,NA,NA,2819,"mean",1409,5637,1,"skew_normal","paleosols","Schaller et al., 2011",2819,364.800082101806
"236",201.5,NA,NA,2956,"mean",1478,5912,1,"skew_normal","paleosols","Schaller et al., 2011",2956,364.800082101806
"237",201.5,NA,NA,710,"mean",355,1420,1,"skew_normal","paleosols","Schaller et al., 2011",710,364.800082101806
"238",201.7,NA,NA,1191,"mean",596,2383,1,"skew_normal","paleosols","Schaller et al., 2011",1191,364.800082101806
"239",201.8,NA,NA,1495,"mean",747,2989,1,"skew_normal","paleosols","Schaller et al., 2011",1495,364.800082101806
"240",201.9,NA,NA,1502,"mean",751,3004,1,"skew_normal","paleosols","Schaller et al., 2011",1502,364.800082101806
"241",202.1,NA,NA,1509,"mean",754,3017,1,"skew_normal","paleosols","Schaller et al., 2011",1509,364.800082101806
"242",202.2,NA,NA,1065,"mean",532,2129,1,"skew_normal","paleosols","Schaller et al., 2011",1065,364.800082101806
"243",202.5,NA,NA,1613,"mean",806,3225,1,"skew_normal","paleosols","Schaller et al., 2011",1613,364.800082101806
"244",203,NA,NA,1487,"mean",744,2975,1,"skew_normal","paleosols","Schaller et al., 2011",1487,364.800082101806
"245",203.1,NA,NA,1298,"mean",649,2596,1,"skew_normal","paleosols","Schaller et al., 2011",1298,364.800082101806
"246",203.6,NA,NA,1021,"mean",511,2043,1,"skew_normal","paleosols","Schaller et al., 2011",1021,364.800082101806
"247",203.7,NA,NA,1855,"mean",927,3709,1,"skew_normal","paleosols","Schaller et al., 2011",1855,364.800082101806
"248",203.9,NA,NA,983,"mean",492,1967,1,"skew_normal","paleosols","Schaller et al., 2011",983,364.800082101806
"249",211.9,NA,NA,1183,"mean",592,2367,1,"skew_normal","paleosols","Schaller et al., 2012",1183,364.800082101806
"250",211.9,NA,NA,1135,"mean",568,2271,1,"skew_normal","paleosols","Schaller et al., 2012",1135,364.800082101806
"251",211.9,NA,NA,1479,"mean",739,2957,1,"skew_normal","paleosols","Schaller et al., 2012",1479,364.800082101806
"252",211.9,NA,NA,1376,"mean",688,2752,1,"skew_normal","paleosols","Schaller et al., 2012",1376,364.800082101806
"253",205,NA,NA,1377,"mean",688,2753,1,"skew_normal","paleosols","Schaller et al., 2012",1377,364.800082101806
"254",201.3,NA,NA,3457,"mean",1729,6915,1,"skew_normal","paleosols","Schaller et al., 2012",3457,364.800082101806
"255",201.2,NA,NA,2049,"mean",1025,4099,1,"skew_normal","paleosols","Schaller et al., 2012",2049,364.800082101806
"256",200.8,NA,NA,1499,"mean",750,2999,1,"skew_normal","paleosols","Schaller et al., 2012",1499,364.800082101806
"257",200.8,NA,NA,3649,"mean",1824,7297,1,"skew_normal","paleosols","Schaller et al., 2012",3649,364.800082101806
"258",200.8,NA,NA,1987,"mean",993,3973,1,"skew_normal","paleosols","Schaller et al., 2012",1987,364.800082101806
"259",200.8,NA,NA,2353,"mean",1177,4707,1,"skew_normal","paleosols","Schaller et al., 2012",2353,364.800082101806
"260",200.8,NA,NA,2927,"mean",1464,5855,1,"skew_normal","paleosols","Schaller et al., 2012",2927,364.800082101806
"261",200.8,NA,NA,3012,"mean",1506,6024,1,"skew_normal","paleosols","Schaller et al., 2012",3012,364.800082101806
"262",200.7,NA,NA,2383,"mean",1191,4765,1,"skew_normal","paleosols","Schaller et al., 2012",2383,364.800082101806
"263",200.7,NA,NA,1818,"mean",909,3636,1,"skew_normal","paleosols","Schaller et al., 2012",1818,364.800082101806
"264",200.7,NA,NA,2013,"mean",1006,4025,1,"skew_normal","paleosols","Schaller et al., 2012",2013,364.800082101806
"265",200.7,NA,NA,1874,"mean",937,3748,1,"skew_normal","paleosols","Schaller et al., 2012",1874,364.800082101806
"266",200.7,NA,NA,2303,"mean",1152,4607,1,"skew_normal","paleosols","Schaller et al., 2012",2303,364.800082101806
"267",200.7,NA,NA,1992,"mean",996,3984,1,"skew_normal","paleosols","Schaller et al., 2012",1992,364.800082101806
"268",200.6,NA,NA,2048,"mean",1024,4096,1,"skew_normal","paleosols","Schaller et al., 2012",2048,364.800082101806
"269",200.6,NA,NA,1545,"mean",772,3089,1,"skew_normal","paleosols","Schaller et al., 2012",1545,364.800082101806
"270",200.6,NA,NA,2187,"mean",1093,4373,1,"skew_normal","paleosols","Schaller et al., 2012",2187,364.800082101806
"271",200.6,NA,NA,1469,"mean",735,2939,1,"skew_normal","paleosols","Schaller et al., 2012",1469,364.800082101806
"272",200.6,NA,NA,1697,"mean",848,3393,1,"skew_normal","paleosols","Schaller et al., 2012",1697,364.800082101806
"273",200.5,NA,NA,2997,"mean",1499,5995,1,"skew_normal","paleosols","Schaller et al., 2012",2997,364.800082101806
"274",200.5,NA,NA,2750,"mean",1375,5500,1,"skew_normal","paleosols","Schaller et al., 2012",2750,364.800082101806
"275",200.5,NA,NA,3395,"mean",1697,6789,1,"skew_normal","paleosols","Schaller et al., 2012",3395,364.800082101806
"276",200.4,NA,NA,1921,"mean",961,3843,1,"skew_normal","paleosols","Schaller et al., 2012",1921,364.800082101806
"277",200.4,NA,NA,2002,"mean",1001,4004,1,"skew_normal","paleosols","Schaller et al., 2012",2002,364.800082101806
"278",200.4,NA,NA,997,"mean",499,1995,1,"skew_normal","paleosols","Schaller et al., 2012",997,364.800082101806
"279",200.4,NA,NA,1411,"mean",706,2823,1,"skew_normal","paleosols","Schaller et al., 2012",1411,364.800082101806
"280",200.3,NA,NA,1766,"mean",883,3532,1,"skew_normal","paleosols","Schaller et al., 2012",1766,364.800082101806
"281",200.3,NA,NA,1811,"mean",905,3621,1,"skew_normal","paleosols","Schaller et al., 2012",1811,364.800082101806
"282",200.2,NA,NA,1019,"mean",509,2037,1,"skew_normal","paleosols","Schaller et al., 2012",1019,364.800082101806
"283",200.2,NA,NA,610,"mean",305,1220,1,"skew_normal","paleosols","Schaller et al., 2012",610,364.800082101806
"284",199.8,NA,NA,523,"mean",262,1047,1,"skew_normal","paleosols","Schaller et al., 2012",523,364.800082101806
"285",199,NA,NA,1179,"mean",589,2357,1,"skew_normal","paleosols","Schaller et al., 2012",1179,364.800082101806
"286",127.9,129.4,126.3,393,"mean",234,551,1,"skew_normal","paleosols","Huang et al., 2012",393,364.800082101806
"287",137.9,139.4,136.4,174,"mean",76,272,1,"skew_normal","paleosols","Huang et al., 2012",174,364.800082101806
"288",143.5,145,142,232,"mean",92,372,1,"skew_normal","paleosols","Huang et al., 2012",232,364.800082101806
"289",83,NA,NA,1522,"mean",761,3044,1,"skew_normal","paleosols","Hong & Lee, 2012",1522,364.800082101806
"290",98,NA,NA,1520,"mean",760,3040,1,"skew_normal","paleosols","Hong & Lee, 2012",1520,364.800082101806
"291",100.5,NA,NA,1368,"mean",684,2736,1,"skew_normal","paleosols","Hong & Lee, 2012",1368,364.800082101806
"292",102,NA,NA,1428,"mean",714,2856,1,"skew_normal","paleosols","Hong & Lee, 2012",1428,364.800082101806
"293",103.5,NA,NA,1060,"mean",530,2120,1,"skew_normal","paleosols","Hong & Lee, 2012",1060,364.800082101806
"294",113.5,NA,NA,449,"mean",225,898,1,"skew_normal","paleosols","Hong & Lee, 2012",449,364.800082101806
"295",157.8,163.5,152.1,558,"mean",279,1115,1,"skew_normal","paleosols","Gutierrez & Sheldon, 2012",558,364.800082101806
"296",5.5,6.1,4.9,222,"median",112,524,1,"skew_normal","paleosols","Cotton & Sheldon, 2012  (updated by Breecker & Retallack, 2014)",222,364.800082101806
"297",50.5,50.5,50.4,684,"mean",574,807,1,"skew_normal","paleosols","Hyland & Sheldon, 2013",684,364.800082101806
"298",50.7,50.8,50.7,397,"mean",246,533,1,"skew_normal","paleosols","Hyland & Sheldon, 2013",397,364.800082101806
"299",50.9,50.9,50.8,178,"mean",109,246,1,"skew_normal","paleosols","Hyland & Sheldon, 2013",178,364.800082101806
"300",51.1,51.2,51.1,1285,"mean",1026,1532,1,"skew_normal","paleosols","Hyland & Sheldon, 2013",1285,364.800082101806
"301",51.2,51.3,51.2,1354,"mean",1258,1450,1,"skew_normal","paleosols","Hyland & Sheldon, 2013",1354,364.800082101806
"302",51.4,51.4,51.3,971,"mean",834,1108,1,"skew_normal","paleosols","Hyland & Sheldon, 2013",971,364.800082101806
"303",51.5,51.5,51.4,1709,"mean",1436,2000,1,"skew_normal","paleosols","Hyland & Sheldon, 2013",1709,364.800082101806
"304",51.5,51.6,51.5,1299,"mean",1067,1491,1,"skew_normal","paleosols","Hyland & Sheldon, 2013",1299,364.800082101806
"305",51.8,51.8,51.7,903,"mean",738,1067,1,"skew_normal","paleosols","Hyland & Sheldon, 2013",903,364.800082101806
"306",52,52,51.9,301,"mean",219,383,1,"skew_normal","paleosols","Hyland & Sheldon, 2013",301,364.800082101806
"307",63.6,NA,NA,235,"mean",188,281,1,"skew_normal","paleosols","Huang et al., 2013",235,364.800082101806
"308",63.7,NA,NA,212,"mean",148,276,1,"skew_normal","paleosols","Huang et al., 2013",212,364.800082101806
"309",64.6,NA,NA,200,"mean",144,255,1,"skew_normal","paleosols","Huang et al., 2013",200,364.800082101806
"310",64.7,NA,NA,289,"mean",188,390,1,"skew_normal","paleosols","Huang et al., 2013",289,364.800082101806
"311",64.9,NA,NA,175,"mean",127,223,1,"skew_normal","paleosols","Huang et al., 2013",175,364.800082101806
"312",65,NA,NA,357,"mean",260,455,1,"skew_normal","paleosols","Huang et al., 2013",357,364.800082101806
"313",65.1,NA,NA,278,"mean",200,355,1,"skew_normal","paleosols","Huang et al., 2013",278,364.800082101806
"314",65.2,NA,NA,360,"mean",189,532,1,"skew_normal","paleosols","Huang et al., 2013",360,364.800082101806
"315",65.4,NA,NA,298,"mean",196,399,1,"skew_normal","paleosols","Huang et al., 2013",298,364.800082101806
"316",66.5,NA,NA,492,"mean",395,588,1,"skew_normal","paleosols","Huang et al., 2013",492,364.800082101806
"317",68.3,NA,NA,175,"mean",102,248,1,"skew_normal","paleosols","Huang et al., 2013",175,364.800082101806
"318",52.8,52.9,52.7,400,"mean",275,530,1,"skew_normal","paleosols","Hyland et al., 2013",400,364.800082101806
"319",52.6,52.7,52.5,750,"mean",630,880,1,"skew_normal","paleosols","Hyland et al., 2013",750,364.800082101806
"320",51.9,52,51.8,1260,"mean",1075,1440,1,"skew_normal","paleosols","Hyland et al., 2013",1260,364.800082101806
"321",51.8,51.9,51.7,1210,"mean",1030,1400,1,"skew_normal","paleosols","Hyland et al., 2013",1210,364.800082101806
"322",51.1,51.2,51,725,"mean",640,800,1,"skew_normal","paleosols","Hyland et al., 2013",725,364.800082101806
"323",135.7,145,126.3,924,"mean",462,1847,1,"skew_normal","paleosols","Mortazavi et al., 2013",924,364.800082101806
"324",31.6,35.5,27.7,265,"mean",132,529,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)","paleosols","Srivastava et al., 2013",265,364.800082101806
"325",31.6,35.5,27.7,377,"mean",188,754,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)","paleosols","Srivastava et al., 2013",377,364.800082101806
"326",253.2,254.2,252.2,1325,"mean",663,2650,1,"skew_normal","paleosols","Gastaldo et al., 2014",1325,364.800082101806
"327",253.2,254.2,252.2,1100,"mean",550,2200,1,"skew_normal","paleosols","Gastaldo et al., 2014",1100,364.800082101806
"328",253.2,254.2,252.2,883,"mean",442,1766,1,"skew_normal","paleosols","Gastaldo et al., 2014",883,364.800082101806
"329",6.4,NA,NA,213,"median",118,376,1,"skew_normal","paleosols","Breecker & Retallack, 2014",213,364.800082101806
"330",6.7,NA,NA,283,"median",154,531,1,"skew_normal","paleosols","Breecker & Retallack, 2014",283,364.800082101806
"331",6.8,NA,NA,372,"median",227,663,1,"skew_normal","paleosols","Breecker & Retallack, 2014",372,364.800082101806
"332",8.8,NA,NA,274,"median",173,476,1,"skew_normal","paleosols","Breecker & Retallack, 2014",274,364.800082101806
"333",9.1,NA,NA,197,"median",90,485,1,"skew_normal","paleosols","Breecker & Retallack, 2014",197,364.800082101806
"334",12.7,NA,NA,267,"median",131,624,1,"skew_normal","paleosols","Breecker & Retallack, 2014",267,364.800082101806
"335",13.7,NA,NA,101,"median",31,272,1,"skew_normal","paleosols","Breecker & Retallack, 2014",101,364.800082101806
"336",17.5,NA,NA,261,"median",125,609,1,"skew_normal","paleosols","Breecker & Retallack, 2014",261,364.800082101806
"337",17.8,NA,NA,237,"median",73,1017,1,"skew_normal","paleosols","Breecker & Retallack, 2014",237,364.800082101806
"338",18,NA,NA,160,"median",47,694,1,"skew_normal","paleosols","Breecker & Retallack, 2014",160,364.800082101806
"339",18.2,NA,NA,274,"median",183,400,1,"skew_normal","paleosols","Breecker & Retallack, 2014",274,364.800082101806
"340",23,NA,NA,203,"median",97,493,1,"skew_normal","paleosols","Breecker & Retallack, 2014",203,364.800082101806
"341",100.8,NA,NA,763,"mean",382,1526,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)","paleosols","Li et al., 2014",763,364.800082101806
"342",102.4,NA,NA,621,"mean",310,1242,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)","paleosols","Li et al., 2014",621,364.800082101806
"343",103.1,NA,NA,792,"mean",396,1584,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)","paleosols","Li et al., 2014",792,364.800082101806
"344",103.3,NA,NA,1052,"mean",526,2104,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)","paleosols","Li et al., 2014",1052,364.800082101806
"345",104.6,NA,NA,1246,"mean",623,2493,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)","paleosols","Li et al., 2014",1246,364.800082101806
"346",104.7,NA,NA,1139,"mean",570,2278,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)","paleosols","Li et al., 2014",1139,364.800082101806
"347",104.8,NA,NA,1254,"mean",627,2509,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)","paleosols","Li et al., 2014",1254,364.800082101806
"348",106.1,NA,NA,1399,"mean",700,2798,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)","paleosols","Li et al., 2014",1399,364.800082101806
"349",106.4,NA,NA,1474,"mean",737,2949,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)","paleosols","Li et al., 2014",1474,364.800082101806
"350",106.5,NA,NA,1679,"mean",840,3358,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)","paleosols","Li et al., 2014",1679,364.800082101806
"351",106.6,NA,NA,1497,"mean",748,2994,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)","paleosols","Li et al., 2014",1497,364.800082101806
"352",106.9,NA,NA,1496,"mean",748,2992,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)","paleosols","Li et al., 2014",1496,364.800082101806
"353",107.8,NA,NA,1201,"mean",600,2402,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)","paleosols","Li et al., 2014",1201,364.800082101806
"354",108.8,NA,NA,1015,"mean",508,2030,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)","paleosols","Li et al., 2014",1015,364.800082101806
"355",110.3,NA,NA,1065,"mean",532,2130,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)","paleosols","Li et al., 2014",1065,364.800082101806
"356",111.1,NA,NA,1637,"mean",818,3274,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)","paleosols","Li et al., 2014",1637,364.800082101806
"357",111.5,NA,NA,1966,"mean",983,3933,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)","paleosols","Li et al., 2014",1966,364.800082101806
"358",111.8,NA,NA,1880,"mean",940,3760,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)","paleosols","Li et al., 2014",1880,364.800082101806
"359",112.3,NA,NA,1829,"mean",914,3658,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)","paleosols","Li et al., 2014",1829,364.800082101806
"360",112.7,NA,NA,1419,"mean",710,2838,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)","paleosols","Li et al., 2014",1419,364.800082101806
"361",113.8,NA,NA,1295,"mean",648,2590,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)","paleosols","Li et al., 2014",1295,364.800082101806
"362",114.8,NA,NA,1514,"mean",757,3029,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)","paleosols","Li et al., 2014",1514,364.800082101806
"363",114.9,NA,NA,1426,"mean",713,2853,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)","paleosols","Li et al., 2014",1426,364.800082101806
"364",115.3,NA,NA,1367,"mean",684,2734,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)","paleosols","Li et al., 2014",1367,364.800082101806
"365",116.1,NA,NA,1666,"mean",833,3331,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)","paleosols","Li et al., 2014",1666,364.800082101806
"366",117.8,NA,NA,1364,"mean",682,2728,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)","paleosols","Li et al., 2014",1364,364.800082101806
"367",123.3,NA,NA,736,"mean",368,1472,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)","paleosols","Li et al., 2014",736,364.800082101806
"368",123.6,NA,NA,607,"mean",304,1214,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)","paleosols","Li et al., 2014",607,364.800082101806
"369",123.7,NA,NA,824,"mean",412,1648,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)","paleosols","Li et al., 2014",824,364.800082101806
"370",123.8,NA,NA,1018,"mean",509,2035,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)","paleosols","Li et al., 2014",1018,364.800082101806
"371",126.4,NA,NA,1065,"mean",532,2130,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)","paleosols","Li et al., 2014",1065,364.800082101806
"372",126.6,NA,NA,1510,"mean",755,3019,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)","paleosols","Li et al., 2014",1510,364.800082101806
"373",127.5,NA,NA,1704,"mean",852,3408,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)","paleosols","Li et al., 2014",1704,364.800082101806
"374",129.8,NA,NA,940,"mean",470,1880,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)","paleosols","Li et al., 2014",940,364.800082101806
"375",130.2,NA,NA,1023,"mean",512,2046,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)","paleosols","Li et al., 2014",1023,364.800082101806
"376",130.8,NA,NA,842,"mean",421,1685,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)","paleosols","Li et al., 2014",842,364.800082101806
"377",131.3,NA,NA,1910,"mean",955,3819,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)","paleosols","Li et al., 2014",1910,364.800082101806
"378",132,NA,NA,2562,"mean",1281,5123,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)","paleosols","Li et al., 2014",2562,364.800082101806
"379",201.5,NA,NA,710,"mean",449,971,1,"normal","paleosols","Schaller et al., 2015",710,364.800082101806
"380",201.8,NA,NA,1189.6,"mean",730,1650,1,"normal","paleosols","Schaller et al., 2015",1189.6,364.800082101806
"381",201.8,NA,NA,1494.733333,"mean",911,2078,1,"normal","paleosols","Schaller et al., 2015",1494.733333,364.800082101806
"382",201.9,NA,NA,1502,"mean",917,2087,1,"normal","paleosols","Schaller et al., 2015",1502,364.800082101806
"383",202.1,NA,NA,1508.866667,"mean",925,2092,1,"normal","paleosols","Schaller et al., 2015",1508.866667,364.800082101806
"384",202.6,NA,NA,1064.533333,"mean",662,1467,1,"normal","paleosols","Schaller et al., 2015",1064.533333,364.800082101806
"385",202.8,NA,NA,1613.266667,"mean",982,2244,1,"normal","paleosols","Schaller et al., 2015",1613.266667,364.800082101806
"386",203.3,NA,NA,1486.8,"mean",907,2066,1,"normal","paleosols","Schaller et al., 2015",1486.8,364.800082101806
"387",203.5,NA,NA,1297.866667,"mean",801,1795,1,"normal","paleosols","Schaller et al., 2015",1297.866667,364.800082101806
"388",203.9,NA,NA,1942.533333,"mean",1155,2730,1,"normal","paleosols","Schaller et al., 2015",1942.533333,364.800082101806
"389",204.1,NA,NA,1021.333333,"mean",632,1411,1,"normal","paleosols","Schaller et al., 2015",1021.333333,364.800082101806
"390",204.4,NA,NA,1854.466667,"mean",1122,2586,1,"normal","paleosols","Schaller et al., 2015",1854.466667,364.800082101806
"391",204.6,NA,NA,1427.133333,"mean",872,1983,1,"normal","paleosols","Schaller et al., 2015",1427.133333,364.800082101806
"392",204.6,NA,NA,1973.333333,"mean",1252,2695,1,"normal","paleosols","Schaller et al., 2015",1973.333333,364.800082101806
"393",204.7,NA,NA,2023.8,"mean",1270,2778,1,"normal","paleosols","Schaller et al., 2015",2023.8,364.800082101806
"394",205.9,NA,NA,2157.866667,"mean",1351,2965,1,"normal","paleosols","Schaller et al., 2015",2157.866667,364.800082101806
"395",205.9,NA,NA,2103.866667,"mean",1317,2891,1,"normal","paleosols","Schaller et al., 2015",2103.866667,364.800082101806
"396",207.2,NA,NA,1962.8,"mean",1246,2680,1,"normal","paleosols","Schaller et al., 2015",1962.8,364.800082101806
"397",207.3,NA,NA,2275.6,"mean",1405,3146,1,"normal","paleosols","Schaller et al., 2015",2275.6,364.800082101806
"398",207.5,NA,NA,2723.733333,"mean",1657,3790,1,"normal","paleosols","Schaller et al., 2015",2723.733333,364.800082101806
"399",207.8,NA,NA,2505.333333,"mean",1539,3472,1,"normal","paleosols","Schaller et al., 2015",2505.333333,364.800082101806
"400",207.9,NA,NA,2508.4,"mean",1519,3497,1,"normal","paleosols","Schaller et al., 2015",2508.4,364.800082101806
"401",208.1,NA,NA,2953.133333,"mean",1575,4331,1,"normal","paleosols","Schaller et al., 2015",2953.133333,364.800082101806
"402",208.3,NA,NA,2953.133333,"mean",1764,4142,1,"normal","paleosols","Schaller et al., 2015",2953.133333,364.800082101806
"403",208.4,NA,NA,2831.733333,"mean",1713,3950,1,"normal","paleosols","Schaller et al., 2015",2831.733333,364.800082101806
"404",209.2,NA,NA,3191.066667,"mean",1878,4504,1,"normal","paleosols","Schaller et al., 2015",3191.066667,364.800082101806
"405",210,NA,NA,2756,"mean",1664,3848,1,"normal","paleosols","Schaller et al., 2015",2756,364.800082101806
"406",210.3,NA,NA,2295.533333,"mean",1437,3154,1,"normal","paleosols","Schaller et al., 2015",2295.533333,364.800082101806
"407",210.8,NA,NA,2605.6,"mean",1579,3632,1,"normal","paleosols","Schaller et al., 2015",2605.6,364.800082101806
"408",211.6,NA,NA,1623.4,"mean",1047,2200,1,"normal","paleosols","Schaller et al., 2015",1623.4,364.800082101806
"409",211.6,NA,NA,2236.6,"mean",1367,3106,1,"normal","paleosols","Schaller et al., 2015",2236.6,364.800082101806
"410",211.9,NA,NA,1942.266667,"mean",1220,2664,1,"normal","paleosols","Schaller et al., 2015",1942.266667,364.800082101806
"411",213.1,NA,NA,2635.6,"mean",1574,3697,1,"normal","paleosols","Schaller et al., 2015",2635.6,364.800082101806
"412",215,NA,NA,3194.333333,"mean",1873,4516,1,"normal","paleosols","Schaller et al., 2015",3194.333333,364.800082101806
"413",215,NA,NA,3087.8,"mean",1803,4373,1,"normal","paleosols","Schaller et al., 2015",3087.8,364.800082101806
"414",215.1,NA,NA,3123.2,"mean",1826,4420,1,"normal","paleosols","Schaller et al., 2015",3123.2,364.800082101806
"415",215.2,NA,NA,3722.4,"mean",2095,5350,1,"normal","paleosols","Schaller et al., 2015",3722.4,364.800082101806
"416",215.3,NA,NA,3395.733333,"mean",1939,4853,1,"normal","paleosols","Schaller et al., 2015",3395.733333,364.800082101806
"417",215.4,NA,NA,3218.066667,"mean",1867,4569,1,"normal","paleosols","Schaller et al., 2015",3218.066667,364.800082101806
"418",215.6,NA,NA,3113.6,"mean",1808,4419,1,"normal","paleosols","Schaller et al., 2015",3113.6,364.800082101806
"419",215.6,NA,NA,3132.333333,"mean",1844,4420,1,"normal","paleosols","Schaller et al., 2015",3132.333333,364.800082101806
"420",215.7,NA,NA,3240.6,"mean",1884,4597,1,"normal","paleosols","Schaller et al., 2015",3240.6,364.800082101806
